"排名","代號","名稱","成交","財報季度","現金(%)","應收帳款(%)","存貨(%)","速動資產(%)","流動資產(%)","投資(%)","固定資產(%)","無形資產(%)","其他資產(%)","流動負債(%)","長期負債(%)","其他負債(%)","負債總額(%)","股東權益(%)","每股淨值(元)","財報評分"
"1",="2882","國泰金","45.3","23Q1","3.46","1.76","","","","68.2","0.89","0.42","0.64","","","0.21","94.3","5.68","42.12","57"
"2",="2881","富邦金","62.5","23Q1","2.13","2.28","","","","65.2","0.61","0.32","0.57","","","0.66","93.2","6.79","50.95","67"
"3",="2891","中信金","23.25","23Q1","1.43","2.91","","","","46.4","0.62","0.5","0.7","","","0.33","94.6","5.4","19.98","67"
"4",="2888","新光金","9.26","23Q1","1.18","1.71","","","","74.4","0.83","0.08","0.98","","","0.2","95.3","4.66","14.25","29"
"5",="5880","合庫金","26.35","23Q1","1.39","0.94","","","","30","0.71","0.09","0.07","","","0.04","95","5.02","16.18","62"
"6",="2892","第一金","26.1","23Q1","1.18","1.3","","","","33.6","0.65","0.02","0.11","","","0.18","94.4","5.55","17.88","67"
"7",="2886","兆豐金","35.65","23Q1","2.74","2.07","","","","33.2","0.53","0.03","0.16","","","0.25","92.3","7.71","22.61","71"
"8",="2880","華南金","20.85","23Q1","0.82","1.39","","","","33.2","0.89","0.03","0.14","","","0.18","94.8","5.25","14.15","62"
"9",="2883","開發金","11.9","23Q1","2.59","3.92","","","","75.9","0.96","0.51","2.35","","","1.67","93.4","6.56","12.64","62"
"10",="2884","玉山金","24.5","23Q1","1.33","3.47","","","","32.2","1.01","0.18","0.42","","","0.11","94","5.98","14.34","67"
"11",="2885","元大金","23.75","23Q1","2.31","7.32","","","","50.9","0.82","0.99","2.05","","","1.78","90.7","9.31","21.48","62"
"12",="2887","台新金","17.6","23Q1","1.18","5.13","","","","37.5","0.9","0.12","0.48","","","0.21","92.7","7.29","16.13","57"
"13",="2801","彰銀","17.05","23Q1","1.59","0.79","","","","27.1","0.77","0.04","0.08","","","0.12","93.6","6.38","16.5","62"
"14",="2890","永豐金","16.95","23Q1","1.33","3.7","","","","30.2","0.49","0.09","0.93","","","0.52","93.5","6.47","14.32","67"
"15",="5876","上海商銀","42","23Q2","1.76","0.87","","","","28.3","0.94","0.08","0.44","","","0.13","90.4","9.6","35.87","67"
"16",="2317","鴻海","106.5","23Q2","31.6","22.8","20.2","55.7","76.3","10.4","9.67","1.21","0.82","48.4","7.58","0.34","57.9","42.1","100.47","34"
"17",="2834","臺企銀","13.65","23Q1","1.61","0.49","","","","23.6","0.68","0.04","0.51","","","0.08","94.8","5.25","13.61","67"
"18",="2330","台積電","544","23Q2","24.8","3.76","4.55","32.7","38.1","1.84","57.2","0.46","0.27","15.7","17.6","3.8","37.8","62.2","122.97","89"
"19",="2905","三商","13.85","23Q2","2.23","0.92","0.36","3.19","8.28","77","1.23","0.02","12","1.11","1.81","10.9","97.3","2.69","15.4","17"
"20",="2867","三商壽","5.09","23Q2","2.16","0.87","","","","82.6","0.71","0.01","12.2","","","0.04","97.5","2.53","8.31","15"
"21",="2838","聯邦銀","14.5","23Q1","1","3.46","","","","29.1","1.5","0.24","1.24","","","0.39","92.7","7.3","16.69","57"
"22",="1718","中纖","7.8","23Q2","1.63","2.47","0.13","14.3","75.9","20.2","3.3","0.04","0.31","87.4","2.68","0.5","91","9.05","16.09","45"
"23",="2812","台中銀","14.55","23Q2","1.4","2.36","","","","25.4","2.11","0.03","0.27","","","0.16","91.2","8.75","14.31","62"
"24",="5871","中租-KY","181.5","23Q1","5.48","57.5","0","65.8","69.1","1.09","7.71","0.05","20.7","54.6","25.8","0.96","82.3","17.7","85.5","57"
"25",="2845","遠東銀","11.35","23Q1","1.22","2.46","","","","28.8","0.67","0.21","0.04","","","0.07","92.6","7.35","13.83","57"
"26",="2897","王道銀行","9.01","23Q1","1.2","0.71","","","","59.6","0.39","0.29","0.23","","","0.09","90.7","9.27","12.86","62"
"27",="2382","廣達","272.5","23Q2","24.3","38.7","22.2","64.5","87.7","0.74","9.34","0.12","0.43","72.7","0.54","0.09","74.2","25.8","42.85","38"
"28",="1216","統一","72.8","23Q2","15.6","4.78","8.14","23.5","33","13.9","23.5","7.3","2.14","37.6","12.3","2.2","71.5","28.5","20.78","55"
"29",="2603","長榮","106","23Q2","42.3","2.56","1.03","47.6","49.4","5.95","25.9","0.14","3.7","31.2","5.27","0.58","49","51","197.79","53"
"30",="3711","日月光投控","108.5","23Q2","8.83","17","11.5","27.5","40.3","6.31","39","10.6","1.21","33.6","18.4","1.72","55.8","44.2","64.74","40"
"31",="2207","和泰車","698","23Q2","3.31","59.3","4.3","63.8","71.7","7.67","14.2","0.05","4.58","73.8","2.11","1.98","81.5","18.5","99.63","45"
"32",="1402","遠東新","28.5","23Q2","2.13","6.29","7.77","10.6","20.1","34.4","26.8","12.6","2.3","23.5","27.8","0.87","56.5","43.5","39.66","38"
"33",="2809","京城銀","36.3","23Q2","0.72","3.29","","","","27.5","1.27","","0.37","","","0.07","88.3","11.7","40.66","62"
"34",="2002","中鋼","26.6","23Q2","3.09","2.06","18.5","8.51","29.9","11.1","54.5","0.19","0.99","28.5","16.6","0.97","49.8","50.2","20.06","38"
"35",="2324","仁寶","37","23Q2","14","49","22.3","63.1","86.5","3","6.11","0.34","0.56","67.1","3.18","0.23","72.6","27.4","26.51","32"
"36",="3231","緯創","129","23Q2","13.8","28.3","31.2","44.4","78.6","3.73","12.1","0.48","1.3","65.5","6.57","0.42","73.9","26.1","33.51","32"
"37",="4938","和碩","77.3","23Q2","14.8","29.2","25.6","45.8","74.2","5.94","15.1","0.04","3.09","50.8","8.47","1.05","61","39","67.52","36"
"38",="2633","台灣高鐵","29.15","23Q2","2.85","0.08","0.69","3.12","8.09","","0.03","89.9","0.55","8.07","59.5","14","83","17","11.95","55"
"39",="2889","國票金","11.65","23Q1","0.97","8.8","","","","86.6","2.02","0.07","1.34","","","1.19","87.8","12.2","11.04","57"
"40",="2201","裕隆","75.6","23Q2","6.84","63","3.35","71","76.5","10.4","10.8","0.16","1.05","71.6","5.75","0.16","79.2","20.8","51.12","45"
"41",="2849","安泰銀","13.95","23Q1","0.64","1.24","","","","27.5","0.21","0.07","0.43","","","0.04","90.4","9.58","16.55","24"
"42",="2454","聯發科","674","23Q2","27","9.17","9.24","38.3","48.2","23","7.86","12.3","5.56","40.5","0","1.12","44.5","55.5","228.55","64"
"43",="1303","南亞","66.1","23Q2","13.5","7.92","7.98","27","35.9","28.1","32.4","0.25","2.42","26","12.1","3.24","44.2","55.8","44.37","45"
"44",="2836","高雄銀","11.95","23Q1","1.57","0.49","","","","29.7","1.08","0.04","0.06","","","0.04","93.9","6.09","13.8","52"
"45",="9941","裕融","177","23Q2","2.3","82.9","0.55","85.7","88.6","0.27","9.43","0.11","0.81","85.8","1.13","0","87.7","12.3","55.1","51"
