"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","20Q3EPS(元)","20Q4EPS(元)","21Q1EPS(元)","21Q2EPS(元)","21Q3EPS(元)","21Q4EPS(元)","22Q1EPS(元)","22Q2EPS(元)","22Q3EPS(元)","22Q4EPS(元)","23Q1EPS(元)","23Q2EPS(元)"
"1",="8080","永利聯合","10.5","+0.3","+2.94","0.49","-0.07","-0.38","-0.14","0.06","0.2","-1.35","-0.26","-0.07","7.19","0.37","0.12","0.15"
"2",="9950","萬國通","19.95","+1.8","+9.92","-0.07","-0.49","-0.32","-0.59","-2.13","-0.75","-0.74","-0.58","-0.91","0.1","-0.12","0.15","5.59"
"3",="6409","旭隼","1565","+65","+4.33","9.45","6.33","5.25","4.87","7.09","7.91","7.27","5.75","14.71","17.3","13.17","8.55","15.16"
"4",="6204","艾華","74.9","+0.1","+0.13","2.6","0.82","0.37","0.99","10.1","1.07","0.25","0.23","0.32","0.28","0.09","-0.08","16.81"
"5",="3293","鈊象","571","+12","+2.15","13.64","13.22","12.9","16.73","16.62","17.09","16.77","18.74","9.46","10.59","9.46","10.24","11.81"
"6",="4944","兆遠","9.98","+0.9","+9.91","-0.21","-0.03","-0.93","-0.41","-0.36","-0.08","-2.71","-0.44","-0.45","-1.14","-0.42","-0.44","4.88"
"7",="3529","力旺","1810","+40","+2.26","4.18","2.27","2.6","3.93","3.27","3.72","3.86","4.91","5.48","5.45","5.77","4.2","4.71"
"8",="3443","創意","1365","+80","+6.23","4.76","0.8","4.54","2.3","1.64","3.11","3.84","4.07","5.67","7.9","10.05","6.97","6.26"
"9",="2025","千興","5.76","-0.05","-0.86","0.4","-0.1","-0.08","0.14","0.03","0.46","0.35","1.3","-0.24","1.34","0.38","-0.05","1.3"
"10",="5209","新鼎","162.5","+0.5","+0.31","2.33","1.59","1.11","1.91","1.48","1.72","4.92","1.33","1.23","3.22","3.02","2.89","3.48"
"11",="5278","尚凡","176.5","-1.5","-0.84","3.54","2.51","3.94","3.13","4.51","4.4","4.5","3.31","4.87","2.4","3.11","3.18","2.68"
"12",="1218","泰山","24.95","+0.3","+1.22","1.12","0.7","0.32","0.34","0.28","0.29","0.31","0.29","0.27","0.32","11.29","-0.14","-0.79"
"13",="2404","漢唐","230.5","+5.5","+2.44","4.98","6.76","4.64","3.92","2.92","3.5","4.19","2.79","4.63","8.43","5.34","6.01","6.6"
"14",="3308","聯德","44.5","+1.7","+3.97","0.45","-0.25","-0.39","0.05","-0.31","-0.04","0.05","-0.29","-0.12","0.26","0.43","5.19","0.86"
"15",="8476","台境","62.5","+1.4","+2.29","0.81","-0.64","0.17","-0.05","-0.04","-0.42","0.02","0.41","0.31","1.03","5.44","0.18","3.29"
"16",="2345","智邦","403","+4.5","+1.13","2.99","2.69","2.45","2.02","1.72","1.96","2.74","2.31","3.71","4.41","4.2","3.65","4.02"
"17",="4728","雙美","195","+2","+1.04","1.8","0.35","1.87","1.16","0.82","0.76","1.77","2.44","2.55","2.52","2.29","2.35","2.66"
"18",="6472","保瑞","718","+27","+3.91","5.31","1.34","8.1","6.18","2.54","2.04","2.06","2.38","3.51","7.57","5.37","13.62","9.01"
"19",="5904","寶雅","494","-7","-1.4","5.2","7.03","5.43","6.2","2.91","3.92","5.49","5.01","2.84","6.07","6.43","6.43","4.59"
"20",="5274","信驊","2275","+150","+7.06","10.01","6.82","6.74","7.21","8.8","10.04","12.26","13.64","14.91","15.83","12.59","4.93","6.37"
"21",="8478","東哥遊艇","458","+16.5","+3.74","3.39","-3.27","1.81","0.1","4.48","2","2.94","4.4","6.15","4.72","4.66","7","5.68"
"22",="4763","材料-KY","813","+42","+5.45","3.72","1.62","3.98","1.62","1.91","1.84","1.06","6.82","3.54","5.28","5.83","7.44",""
"23",="8420","明揚","78.4","+0.9","+1.16","2","0.72","0.79","0.43","1.16","1.52","1.54","1.75","2.94","3.18","3.69","3.1","3.16"
"24",="6669","緯穎","1700","-10","-0.58","16.07","12.85","15.63","9.72","13.2","11.59","14.95","13.42","20.37","24.69","22.59","18.86","14.96"
"25",="8454","富邦媒","530","+1","+0.19","4.26","3","4.37","5.57","4.86","3.83","5.03","4.53","3.81","3.46","4.67","4.07","3.86"
"26",="2752","豆府","255.5","-1.5","-0.58","2.6","3.72","2.54","2.64","0.28","0.03","3.76","2.69","0.66","3.25","4.12","4","3.54"
"27",="6691","洋基工程","279.5","+11","+4.1","4.95","1.16","4.35","3.32","5.07","3.73","4.78","4.68","6.23","8.17","6.38","5.81","5.71"
"28",="6488","環球晶","457.5","+6.5","+1.44","8.4","7.79","7.9","6.18","9.09","7.13","4.87","4.01","6.24","11.75","13.31","11.49","11"
"29",="2443","昶虹","3.4","+0.2","+6.25","-0.17","-0.91","-1.18","-0.33","-0.25","-0.09","-0.07","-0.2","-0.18","-0.19","1.06","0.35","-0.04"
"30",="6294","智基","110.5","-2","-1.78","2.7","2.74","2.98","2.86","4.28","2.2","2.21","1.63","3.53","1.9","2.91","1.6","3.56"
"31",="3218","大學光","379.5","0","0","2.41","2","1.67","1.96","1.68","1.76","2.42","2.8","2.46","2.58","3.05","3.33","3.25"
"32",="3093","港建*","32.1","+0.95","+3.05","1.63","0.72","2.01","1.19","1.45","2.35","2.42","0.86","3.31","3.38","0.76","0.4","0.68"
"33",="6263","普萊德","125","+2.5","+2.04","1.56","1.07","1.36","1.02","1.33","1.27","1.52","1.25","1.76","1.78","2.22","1.81","2.32"
"34",="6670","復盛應用","196","+1.5","+0.77","5.73","1.01","3.72","5.84","4.35","3.34","4.5","7.59","10.29","10.34","8.43","5.42","3.96"
"35",="3056","總太","48","-3.1","-6.07","1.47","-0.13","3.87","3.62","-0.19","-0.18","-0.23","-0.24","1.58","5.14","3.54","0.06","0.78"
"36",="5287","數字","222.5","-0.5","-0.22","3.37","3.91","3.23","2.9","3.62","3.32","3.39","3","3.41","3.41","3.31","3.27","3.72"
"37",="9906","欣巴巴","58.4","-0.2","-0.34","1.07","-0.2","-0.46","-0.31","-0.37","3.17","0.65","1.8","2.67","0.59","0.02","0.55","4.73"
