"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"1",="4174","浩鼎","81.7","-0.3","-0.37","1694","-1255","-28.6","495","-384","40.6","-589","2433","3435","13603","-6985","540","9018"
"2",="4529","淳紳","9.37","+0.85","+9.98","-15286","","-2084","-1180","-3800","-3225","-165064","8445","610","-2094","160","-258","349"
"3",="6492","生華科","45.55","+0.05","+0.11","1701","207","1355","1830","7615","1515","1529","388","553","808","1392","1540","1679"
"4",="6169","昱泉","20.2","-0.2","-0.98","476","58","19.6","18.6","64.8","98.8","1986","675","1266","138","1295","31.5","65.9"
"5",="2443","昶虹","3.15","0","0","556","-5","23.7","2.13","44","-3.97","23.8","-87.2","120","-282","4307","2589","-63.4"
"6",="2363","矽統","37.8","+0.6","+1.61","494","590","-48.1","153","2.33","632","16.7","240","1433","37.1","12.4","15.7","2838"
"7",="5514","三豐","20","0","0","458","29.9","145","-26.6","-61.9","2735","428","28.5","25","1972","79.8","53.3","90.3"
"8",="1418","東華","23.6","+0.1","+0.43","294","-15.8","219","-52.4","-199","-85","3355","-148","-129","-309","1330","-70.5","-370"
"9",="6222","上揚","23.95","+0.95","+4.13","278","-1.07","-0.08","1.02","0.2","17.5","-23.1","19.9","46.4","2921","-38.2","44.5","347"
"10",="2915","潤泰全","60.7","-0.1","-0.16","473","669","5.69","1095","528","741","246","604","813","1162","-884","22.1","674"
"11",="6240","松崗","22.05","-0.2","-0.9","250","-50.8","313","203","572","78.5","176","-60.7","1584","-190","394","33.2","-48.1"
"12",="6841","長佳智能","97","-0.7","-0.72","174","","178","14.5","151","50.7","58.6","25.5","15.8","26.8","969","307","116"
"13",="1235","興泰","77","0","0","168","124","-18.4","-169","-142","321","157","823","397","279","258","729","-743"
"14",="6404","通訊-KY","19.95","-0.1","-0.5","52","10.3","-19.5","19.7","69","170","104","132","226","393","156","-440","-197"
"15",="5302","太欣","10.1","-0.25","-2.42","136","70.7","15.7","43.5","49","100","183","269","150","295","185","194","78.7"
"16",="5523","豐謙","25.4","0","0","101","1.89","1.24","-0.01","0.5","41.1","3.02","1026","1.1","49","83.1","-0.13","-0.1"
"17",="5205","中茂","31.95","+2.8","+9.61","380","0.32","26.8","-0.26","-0.07","-0.15","-0.08","-0.5","4438","7.95","19","81.1","-13.6"
"18",="6550","北極星藥業-KY","83.4","-1.9","-2.23","5241","","190","467","-27.6","-1531","215","-283","-843","-1701","4685","51528","4954"
"19",="1903","士紙","59.9","-0.4","-0.66","77.5","52.3","-13.9","57.8","-3.5","92.5","-5.56","-7.02","-16.5","833","-17.4","-21.1","-20.7"
"20",="4157","太景*-KY","15","0","0","-1.33","-241","-303","-21.6","-1.74","-39.4","593","429","-113","186","-553","59.2","-10.6"
"21",="2704","國賓","50.9","-0.1","-0.2","80.8","33.1","9.3","-5.69","27","75.9","10.9","-5.12","76.3","49.4","368","62.9","268"
"22",="3066","李洲","17.3","+0.2","+1.17","59.9","8.92","55.9","15.7","5.82","12","118","39.5","128","2.52","394","-11.9","-49.9"
"23",="2924","宏太-KY","23.05","-1.8","-7.24","43.6","-1.24","-56.2","-1.57","0.46","259","-19.1","3.15","403","11.8","0.85","-89","12.3"
"24",="2506","太設","9.1","0","0","35.7","6.03","3.42","-2.16","-4.38","49.8","19.1","-13.2","26.2","28.5","337","-2.75","-18.5"
"25",="6657","華安","61.7","-0.6","-0.96","66.4","","58","","23.7","35.3","19.9","122","144","66.9","28.2","85.8","79.3"
"26",="2025","千興","6.25","+0.25","+4.17","200","2.2","4.76","-0.01","9.67","-0.73","-0.56","66.6","-15.2","682","96.7","0.64","1558"
"27",="6198","瑞築","34.7","-0.6","-1.7","39","-3.64","-5.52","6.36","-45.3","0.78","-0.79","90.3","65.2","100","50","210","0.14"
"28",="1423","利華","23.6","0","0","218","49.2","1462","11.8","382","35.3","63.6","39.3","68.4","177","22.9","171","139"
"29",="4743","合一","179","+1.5","+0.85","655","7692","-7621","3578","-2359","180","1903","3057","-14.1","4194","-2428","-83.1","-234"
"30",="2701","萬企","12.75","-0.05","-0.39","28.2","20.8","48","-48.7","-0.87","43.1","-11.3","-8.4","143","145","-18.5","-15.8","43.3"
"31",="4168","醣聯","27.85","+0.3","+1.09","4681","28134","4457","959","1492","5776","110","47.8","23","6681","249","2600","5645"
"32",="1416","廣豐","10.35","+0.05","+0.49","2785","30034","","1.16","299","23.5","0.02","-37.7","103","137","15.2","11.6","42.6"
"33",="1218","泰山","23.7","+0.05","+0.21","23.9","7.92","7.43","4.78","4.53","3.12","4.89","2.34","4.17","4.66","240","1.42","1.48"
"34",="1419","新紡","42.45","-0.25","-0.59","31.8","47.1","1.89","5.57","-5.38","44.2","0.23","206","31.1","21.7","-0.32","2.44","27.4"
"35",="6419","京晨科","38.7","-1.7","-4.21","33.2","17.2","8.95","21.1","20.7","42.5","34.5","51.2","6.83","155","32.2","-1.74","10.4"
"36",="5314","世紀","38.2","-1.55","-3.9","24.7","-18.8","-30.6","5.62","-57","19.7","9.08","18","60.3","148","42.3","34.4","65.2"
"37",="2706","第一店","15.3","-0.05","-0.33","15.9","-47.7","72","-82.6","-24.1","68.6","-51.7","-15.4","146","129","-23.3","-20.7","41.1"
"38",="4609","唐鋒","6.66","+0.37","+5.88","34.8","7.61","5.49","31.2","9.58","9.05","4.95","110","52","70.5","13.2","48.4","56"
"39",="5864","致和證","19.05","-0.4","-2.06","3.84","4.06","2.19","3.06","1.54","8.83","3.08","2.89","","4.86","8.18","2.22","1.31"
"40",="3354","律勝","14.35","-0.1","-0.69","25.5","-10.5","-4.27","21.5","19.3","0.34","6.07","55.4","61.3","100","-40.1","38.6","58.1"
"41",="6854","錼創科技-KY創","105","-1","-0.94","-31.1","","-573","66.4","-63.4","-2.9","6.82","65.2","86.8","68.2","-11.1","7.56","8.01"
"42",="1713","國化","33.8","-0.1","-0.29","44.6","14.3","37.2","23.2","21.5","25","17.2","27.2","21.7","87.2","87.2","77.2","95.9"
"43",="2702","華園","21.3","-0.05","-0.23","-4.33","-25.8","-123","-16","-25.5","-10.9","-17.1","9.37","25.6","15.6","141","-20.2","-4.39"
"44",="6533","晶心科","414","-3","-0.72","25.3","-0.7","-1.77","10.6","-2.02","14.6","-8","59.9","106","100","-30.2","-2.13","57.5"
"45",="8421","旭源","13.05","-0.05","-0.38","11.6","-11","-8.52","-6.06","-2.03","-3.65","-15.4","169","1.18","4.82","6.61","-0.08","4.25"
"46",="2641","正德","15.4","+0.05","+0.33","15.3","-2.27","-1.26","1.29","-1.71","1.02","-1.72","23.9","6.69","55.4","105","2.37","-5.38"
"47",="3040","遠見","29.95","0","0","74.5","387","80.9","90.2","79","55","8.98","33.4","37","98.5","-5.38","4.03","25.9"
"48",="2474","可成","179.5","-1","-0.55","36.4","-7.88","128","5.95","-4.84","2.22","34.7","27","73.4","78.5","-16","33.4","81.4"
"49",="2434","統懋","37.1","-0.1","-0.27","35.4","3.32","154","1.05","-1.39","0.67","28.7","13.5","0.92","190","-46.1","-12.6","92.4"
"50",="2905","三商","13.4","-0.15","-1.11","24.4","18.7","12.9","0.54","25.5","9.56","7.67","44.9","91.6","96.8","-50.5","25.8","9.54"
"51",="3055","蔚華科","34.15","-0.95","-2.71","19.7","10.6","7.1","-0.76","1.98","1.45","-1.62","-3.06","-4.96","39.3","136","57","-6.95"
