"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="4943","康控-KY","15.1","23Q1","15.8","-11.1","-5.23","+15.9","-9.96","+22.6","-33","+1.9","-62.9","+10.1","-11.25","-3.02","-179","+4.27","-26.2","+3.01","23"
"2",="4946","辣椒","23.65","23Q1","0.97","-14.8","0.18","-46.6","-1.14","-0.56","19","-11.3","-125","-21.9","-7.73","+0.37","-153","-11","-61.8","-4.83","32"
"3",="4944","兆遠","9.76","23Q1","2.56","-23.6","-0.61","-19.8","-1.26","+12.8","-23.6","-8.57","-50","-6.24","-2.88","+0.45","-139","-11","-12.6","+0.7","23"
"4",="3095","及成","24.75","23Q1","4.02","-6.74","0.61","-0.21","-0.4","-25.3","15.3","+1","-9.99","-2.55","-4.02","-0.82","-116","-46.5","-4.88","-1.1","27"
"5",="3432","台端","13.15","23Q1","0.2","+6.52","0.05","+8.08","-12.1","-3.38","25.5","+0.37","-5999","+182","-17.62","-0.05","-115","+0.21","-104","-0.51","49"
"6",="3064","泰偉","15","23Q1","0.8","-4.98","0.42","+17.9","-0.9","+26.3","52.8","+10.2","-121","+32","-1.94","+1.53","-112","+5.25","-21.5","+6.05","43"
"7",="6541","泰福-KY","71.9","23Q1","0.49","+121","0.39","+303","-19.2","-16.8","79.3","+166","-3880","+3445","-16.3","-11.65","-110","-31.5","-51.9","-11.5","38"
"8",="3018","隆銘綠能","11.1","23Q1","9.69","-24.5","-1.27","-11.2","-2.19","-2.38","-13.1","-4.2","-22.6","-5.93","-2.84","-0.11","-87.2","+19","-17.2","-0.64","19"
"9",="5227","立凱-KY","63.1","23Q1","8.72","+23.3","0.77","+325","-3.93","+1.34","8.84","+6.27","-45","+11.2","-5.6","+0.4","-75.9","-10.2","-30.5","+2.78","28"
"10",="2424","隴華","50.2","23Q1","0.91","+14.3","-0.7","+6.39","-1.62","+4.99","-76.9","+17","-179","+36.7","-3.31","+1.29","-75.3","-8.31","-34","-0.39","30"
"11",="2726","雅茗-KY","27.05","23Q1","7.56","-5.69","3.29","+1.38","-2.93","-4.62","43.6","+3.04","-39","-3.5","-8.35","-0.43","-75.2","-2.32","-28.1","-1.96","45"
"12",="4804","大略-KY","5","23Q1","2.68","-2.1","1.05","+1.74","-2.31","-1.24","39.1","+1.48","-90.6","-0.4","-5.09","-0.06","-69.6","-6.62","-23.5","-2.52","20"
"13",="4414","如興","4.39","23Q1","164","-4.89","16","-13","-40.4","+7.29","9.72","-0.91","-24.6","+0.66","-4.94","+0.38","-68.7","-1.89","-24.7","+0.73","21"
"14",="4712","南璋","3.9","23Q1","0.13","-2.75","0.02","-19.2","-0.38","-31.8","17.8","-3.62","-301","-78.9","-0.51","-0.12","-65.8","-21.4","-31.3","-9.7","30"
"15",="3629","地心引力","39.35","23Q1","0.75","-17.4","0.28","+8.6","-1.34","+14","37.6","+9","-177","-7.35","-3.99","+0.64","-61.9","+0.72","-45.6","+0.13","41"
"16",="2740","天蔥","39.55","23Q1","1.02","+15.3","0.4","+17.7","-0.62","-1","38.9","+0.77","-60.7","+8.6","-2.63","+0.71","-61.2","-5.49","-38.8","-3.54","47"
"17",="6219","富旺","18.9","23Q1","5.48","-5.18","1.51","-2.22","-6.83","+30.2","27.5","+0.83","-125","+44.6","-5.06","+1.29","-56.5","+14.8","-6.82","+2.78","21"
"18",="1512","瑞利","13.2","23Q1","9.48","+22.2","1.32","+180","-1.36","+26.2","13.9","+7.85","-14.4","+9.44","0","+1.98","-56.5","+15","-6.74","+2.02","28"
"19",="4192","杏國","49.65","23Q1","0.16","+2.16","0.09","+1.58","-1.7","+9.77","57","-0.32","-1051","+139","-1.49","+0.15","-54.3","+0.25","-28.6","+1.33","47"
"20",="6576","逸達","85.5","23Q1","2.63","-12.8","2.12","-23.2","-5.3","-12","80.6","-10.9","-201","-44.7","-4.49","-0.49","-54.1","-11.7","-40","-7.86","47"
"21",="8291","尚茂","6","23Q1","0.75","-24.9","-0.34","-15.6","-0.63","-6.69","-45.4","-15.9","-84.7","-25.1","-1.33","-0.08","-51.5","-7.76","-16.9","-2.24","25"
"22",="3321","同泰","6.9","23Q1","14.8","-11.5","-0.74","-2532","-3.41","-27.9","-5","-5.18","-23.1","-7.11","-2.2","-0.49","-51","-14.1","-15.7","-2.43","28"
"23",="1441","大東","8","23Q1","14.8","-6.66","-2.01","-85.7","-3.01","-14.8","-13.6","-6.74","-24.3","-4.15","-2.62","-0.1","-49.2","-6.88","-15.5","-2.41","26"
"24",="8077","洛碁","37","23Q1","6.14","+12.4","-0.39","+58","-1.86","+17.7","-6.42","+10.7","-27","+14.3","-8.42","+1.86","-49.1","+10.6","-4.92","+1.51","20"
"25",="2208","台船","23.05","23Q1","221","+0.61","-44.2","-42.8","-50.3","-42.8","-20","-5.9","-22.9","-6.72","-5.4","-1.62","-47.8","-17","-11.2","-3.33","26"
"26",="2465","麗臺","39.9","23Q1","45.7","-13.9","4.93","-18.8","-2.9","-48.1","10.8","-0.66","-6.34","-2.66","-4.91","-1.59","-47","-16","-14.6","-4.93","28"
"27",="8101","華冠","6.03","23Q1","2.86","-20.9","-0.01","-112","-1.34","+17.1","-0.48","-3.54","-47","-2.16","-1.84","+0.38","-46.7","-1.02","-15.9","+1.56","19"
"28",="8444","綠河-KY","37.95","23Q1","35.6","-5.84","1.81","-55","-8.61","-9.35","5.07","-5.54","-24.5","-3.2","-9.69","-0.87","-46.3","-2.99","-10.2","-0.79","26"
"29",="5345","天揚","5.15","23Q1","0.06","-8.96","0","+107","-0.38","+35.5","5.84","+87.2","-635","+262","-0.71","+0.51","-45.2","+37.7","-33.5","+21.7","34"
"30",="3523","迎輝","14.55","23Q1","1.38","-9.08","-0.34","-51.5","-1.43","-14.9","-24.6","-9.84","-104","-21.1","-2.31","-0.3","-43.2","-9.19","-11.4","-1.84","28"
"31",="3664","安瑞-KY","30.95","23Q1","4.95","+6.42","3.23","+8.03","-1.36","+24.1","65.2","+0.97","-27.5","+11.1","-2.78","+0.87","-42.8","+12.7","-18","+5.81","32"
"32",="2516","新建","5.17","23Q1","73.5","+7.23","-5.92","+0.55","-7.38","+4.61","-8.06","+0.63","-10","+1.25","-3.29","+0.13","-42.7","+3.52","-11.9","+0.44","25"
"33",="3522","御頂","17.2","23Q1","6.75","+3.08","2.92","+4.69","-1.43","-36.7","43.2","+0.67","-21.2","-5.21","-3.05","-0.59","-42.6","-9.59","-8.16","-2.59","40"
"34",="6657","華安","83.8","23Q1","0.08","+10.2","0.06","+11.7","-2.91","-9.68","71.2","+0.95","-3597","+16.7","-4.34","-0.35","-42.4","-5.89","-41.1","-6.03","48"
"35",="2102","泰豐","17.2","23Q1","15.4","-4.77","-0.73","-134","-16.8","-23.9","-4.72","-2.8","-109","-25.3","-3.65","-0.7","-38.8","-9.55","-15.9","-3.32","23"
"36",="2911","麗嬰房","7.26","23Q1","33.1","-0.77","13","-5.27","-6.27","+0.53","39.3","-1.87","-18.7","+0.05","-3.4","+0.02","-38.7","-0.68","-13.2","-0.39","34"
"37",="9950","萬國通","17.5","23Q1","23.9","+4.23","4.24","+55.6","-1.12","+49.8","17.7","+5.86","-4.66","+5.13","-0.65","+0.8","-38.4","+29.8","-2.6","+2.58","32"
"38",="3625","西勝","15.05","23Q1","11.8","-19.4","1.34","-23.2","-4.3","+12.1","11.3","-0.56","-36.7","-3.08","-4.07","+0.61","-38.4","+9.86","-13.2","+0.15","28"
"39",="4198","欣大健康","23.3","23Q1","2.57","+0.99","0.44","+15.5","-0.48","+29","17.3","+2.17","-19.4","+7.78","-2.17","+1.6","-38.1","+6.54","-12.4","+4.31","32"
"40",="3555","重鵬","37.8","23Q1","0.19","-20","0.07","-8.6","-0.86","+21.6","35.9","+4.46","-464","+9.5","-2.84","+1.43","-37.9","+8.14","-27.1","+4","39"
"41",="3494","誠研","7.73","23Q1","5.82","+7.74","0.36","+403","-2.33","+1.49","6.17","+8.37","-55.4","+10.3","-1.87","+0.07","-36.4","+0.82","-14.9","+1.24","20"
"42",="2614","東森","17.1","23Q1","59.2","-0.56","19.3","+0.6","-16.9","-2.4","32.6","+0.37","-30.4","-0.97","-3.59","-0.3","-35.4","-2.81","-11.8","-0.64","38"
"43",="2867","三商壽","5.18","23Q1","1,101","+0.4","-116","-9.54","-133","+2.93","-10.5","-0.88","-12","+0.41","-3.18","+1.16","-34","+4.85","-0.91","+0.05","15"
"44",="6547","高端疫苗","60.9","23Q1","0.38","-89.5","-4.23","-98.8","-15.5","-4.87","-1100","-1042","-4026","-3622","-4.74","-0.18","-32.9","-2.48","-25.3","-2.01","36"
"45",="3666","光耀","26.2","23Q1","7.33","-23","-1.45","-28.7","-3.69","-21","-19.8","-7.97","-50.3","-18.3","-6.99","-1.38","-32.4","-6.18","-23.8","-4.3","32"
"46",="3176","基亞","33.35","23Q1","7.35","-30.3","-1.07","-222","-6.89","-1.92","-14.5","-22.8","-272","-89.2","-4.95","-0.09","-31.8","-1.83","-22.7","-1.46","34"
"47",="2739","寒舍","50.3","23Q1","38.1","+11.2","11.3","+32.6","-2.62","+22.5","29.6","+4.77","-6.89","+2.99","-2.88","+0.81","-31.6","+12.9","-1.8","+0.61","34"
"48",="8477","創業家","16.25","23Q1","20.3","-13.6","3.07","-10.2","-1.09","+8.61","15.1","+0.57","-5.34","-0.29","-3.46","+0.3","-31.3","+1.01","-17.4","-2.26","40"
"49",="3089","億杰","81","23Q1","0.9","-31.9","-0.05","-1882","-1.93","+17.9","-5.88","-5.68","-222","-38.5","-2.94","+0.67","-31","+7.68","-24.7","+5.67","34"
"50",="6461","益得","31.95","23Q1","0.16","-31.8","-1.56","-6.15","-3.4","-3.64","-970","-347","-2108","-721","-2.93","-0.11","-30.6","-2.89","-13.5","-0.73","23"
"51",="4174","浩鼎","90.8","23Q1","0.05","+11.1","-0.48","-18.8","-16.7","-3.57","-911","-59","-37165","+3151","-7.32","-0.05","-29.7","+8.28","-27.7","+6.45","45"
"52",="6264","富裔","7.53","23Q1","8.08","+5.37","-0.89","+16.8","-2.04","+5.67","-11","+2.93","-29.4","+4","-1.75","+0.11","-29.2","+2.4","-7.15","+0.71","19"
"53",="2905","三商","14.55","23Q1","1,550","+3.7","-341","+41.9","-47.9","+5.97","-22","+17.3","-7.97","+0.46","-5.44","+0.38","-28.8","+3.11","-0.83","+0.03","17"
"54",="5475","德宏","12.85","23Q1","6.2","-7.46","-0.7","+27.3","-2.82","+18.3","-11.3","+3.1","-47","+7.06","-2.24","+0.47","-28.8","+5.1","-13.8","+2.01","28"
"55",="4950","牧東","12.9","23Q1","0.64","-40.7","-0.15","-145","-0.87","-35.8","-23.4","-17.7","-137","-77.4","-1.89","-0.51","-28.3","-8.19","-23.6","-7.44","32"
"56",="6236","康呈","20.15","23Q1","0.33","+2.57","0.09","-29.5","-0.37","-57.5","28.7","-13.1","-113","-39.6","-0.88","-0.15","-27.8","-10.9","-25.1","-9.57","49"
"57",="6465","威潤","20.5","23Q1","2.12","+11","0.62","+29.7","-0.78","+14.3","29.2","+4.21","-36.8","+10.8","-2.43","+0.42","-27.8","+3.08","-13.5","+1.61","30"
"58",="3259","鑫創","23.75","23Q1","3.76","-6.64","1.2","+3.15","-1.53","+2.43","32","+3.03","-40.6","-1.75","-2.01","+0.09","-27.8","-0.49","-23.6","-1.1","36"
"59",="4991","環宇-KY","33.2","23Q1","13.1","-2.02","2.55","-19.1","-10.6","-13.1","19.5","-4.11","-81.3","-10.9","-9.63","-1.1","-27.7","-4.82","-23.7","-3.7","30"
"60",="6241","易通展","14","23Q1","9.55","-8.68","0.51","-22.6","-0.72","-44","5.31","-0.96","-7.55","-2.76","-1.75","-0.32","-27","-8.95","-11.5","-3.69","14"
