"排名","代號","名稱","成交","漲跌價","漲跌幅","平均存貨(億)","20Q3存貨(億)","20Q4存貨(億)","21Q1存貨(億)","21Q2存貨(億)","21Q3存貨(億)","21Q4存貨(億)","22Q1存貨(億)","22Q2存貨(億)","22Q3存貨(億)","22Q4存貨(億)","23Q1存貨(億)","23Q2存貨(億)"
"1",="2317","鴻海","104.5","+0.5","+0.48","7,237","7,080","5,821","6,350","5,312","6,586","6,721","7,545","7,509","8,805","9,390","8,132","7,588"
"2",="2330","台積電","533","+10","+1.91","1,879","1,095","1,374","1,546","1,704","1,822","1,931","2,001","2,174","2,183","2,211","2,161","2,343"
"3",="2542","興富發","39.3","-0.15","-0.38","1,528","1,272","1,326","1,325","1,394","1,496","1,525","1,573","1,672","1,707","1,681","1,671","1,698"
"4",="2382","廣達","254.5","+15","+6.26","1,938","1,606","1,492","1,623","1,643","1,916","1,966","2,498","2,543","2,530","2,259","1,696","1,482"
"5",="3231","緯創","111","+9.5","+9.36","1,447","1,087","951","1,115","1,146","1,433","1,614","1,817","1,867","1,894","1,569","1,479","1,392"
"6",="4938","和碩","76.6","0","0","1,642","1,457","1,651","1,466","1,439","1,595","1,481","1,833","1,732","1,987","1,994","1,688","1,378"
"7",="2002","中鋼","25.25","0","0","1,188","805","762","879","1,003","1,228","1,295","1,407","1,527","1,466","1,315","1,307","1,261"
"8",="2357","華碩","372.5","+5.5","+1.5","1,472","920","973","1,138","1,382","1,596","1,673","2,043","2,173","1,852","1,425","1,243","1,245"
"9",="2324","仁寶","30.9","+0.2","+0.65","1,172","1,047","962","915","1,187","1,307","1,150","1,362","1,485","1,326","1,116","1,180","1,026"
"10",="3702","大聯大","60","-0.6","-0.99","927","567","571","729","777","914","862","995","1,189","1,375","1,117","1,030","996"
"11",="3036","文曄","110","-1.5","-1.35","713","419","443","495","540","658","665","718","850","1,019","905","908","938"
"12",="2308","台達電","335.5","+11","+3.39","651","435","449","491","562","619","661","672","713","788","798","805","820"
"13",="6505","台塑化","80.3","-0.3","-0.37","728","441","470","601","575","714","727","832","1,018","967","864","736","796"
"14",="3711","日月光投控","111","+1.5","+1.37","798","629","621","669","759","778","732","862","947","1,013","928","857","776"
"15",="5522","遠雄","58.4","+0.6","+1.04","647","644","607","626","663","674","617","642","668","658","650","636","677"
"16",="2027","大成鋼","36.65","-0.2","-0.54","565","518","493","451","420","451","500","558","626","717","721","672","656"
"17",="2454","聯發科","745","+10","+1.36","663","310","377","567","631","688","733","894","914","834","707","693","611"
"18",="1303","南亞","66.4","-0.2","-0.3","518","433","412","439","481","505","576","591","607","571","530","543","527"
"19",="1216","統一","70.3","+0.2","+0.29","435","341","389","387","389","397","466","434","442","451","529","474","525"
"20",="2356","英業達","52.2","+3.2","+6.53","581","467","414","454","530","689","624","766","760","752","510","510","495"
"21",="1402","遠東新","29.1","+0.35","+1.22","446","204","219","258","451","474","490","553","585","557","539","529","488"
"22",="1314","中石化","9.36","-0.02","-0.21","305","123","127","129","168","205","127","433","436","480","479","477","478"
"23",="2923","鼎固-KY","22.65","-0.05","-0.22","446","381","390","395","401","447","464","477","474","486","483","479","474"
"24",="1326","台化","61.4","-0.1","-0.16","454","332","330","394","425","458","472","506","545","537","484","504","462"
"25",="2347","聯強","63.7","-0.4","-0.62","436","245","309","297","329","374","477","513","565","640","573","456","455"
"26",="5534","長虹","74.4","+0.3","+0.4","366","286","288","304","330","353","371","365","387","407","424","432","442"
