"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","2012發放年度","2013發放年度","2014發放年度","2015發放年度","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度"
"1",="2603","長榮","12/25","142","-11","-7.19","11.31","135.7","7.57","90.79","0","0","0","0.1","0","0","0.2","0","0","2.49","18","70"
"2",="2609","陽明","12/25","51.8","-5.7","-9.91","7.06","84.71","3.33","40","0","0","0","0","0","0","0","0","0","0","20","20"
"3",="2636","台驊投控","12/25","88.2","-6.9","-7.26","7.54","90.46","3.31","39.67","0.59","0.4","0.76","1.3","1.8","0.8","1.3","2.2","1.32","3.02","13","13.18"
"4",="6204","艾華","12/25","123","+4","+3.36","3.9","46.79","5.06","60.67","1.6","1","1.1","1","0.7","1","1.1","1","2","25","7.2","17.97"
"5",="8924","大田","12/25","88.8","+0.3","+0.34","4.99","59.84","3.42","41.05","0.6","0.5","0","0","0","0","3.4","1.2","3.8","5","13.7","12.85"
"6",="3056","富華新","12/25","29.3","-0.35","-1.18","4.2","50.36","2.15","25.8","1","1","1.8","0.5","2.5","2.5","2","1.5","3","4.4","1.5","4.1"
"7",="8941","關中","12/25","59.1","+0.1","+0.17","3.49","41.83","2.54","30.5","0","0","0","0.5","1.5","3","8","3","1","2.5","3","8"
"8",="2637","慧洋-KY","12/25","49.95","-3.25","-6.11","4.72","51.91","2.42","29.07","1.5","1.75","2","2.92","2.5","1","1","1.49","1.42","1.5","5.5","6.5"
"9",="5609","中菲行","12/25","83","-5.4","-6.11","4.98","59.81","3.05","36.61","1.02","0.68","0.72","1.02","1.02","2","1.18","1.5","1.36","5.2","10.2","10.71"
"10",="3541","西柏","12/25","38.8","-0.45","-1.15","4.43","53.17","3.63","43.59","2","2.5","2.5","4.5","4","4","5","4","5.04","2.02","3.03","5"
"11",="5015","華祺","12/25","44.85","-0.45","-0.99","3.23","38.75","2.59","31.1","1.5","0.2","1.2","3","2","2.5","3.1","4.2","2.4","1.9","3.5","5.6"
"12",="4736","泰博","12/25","161","0","0","10.83","130","7.73","92.76","4","3","4.88","5.2","5","5","4.9","7.99","6.43","11.42","14.94","19.98"
