"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"1",="4967","十銓","72.8","-0.1","-0.14","0.86","10.28","0.63","7.54","892","46.9","-394","51.8","26.9","0","0","20.9","65.8","844","41.8","0","10000"
"2",="2415","錩新","28.95","-0.95","-3.18","1.39","16.69","0.8","9.65","600","31.8","31.3","88.9","49.5","97.6","38","60.6","119","80.6","75.8","31.1","6500"
"3",="4542","科嶠","58.2","-2.6","-4.28","1.88","20.73","1.48","16.29","157","","63.3","60.7","53.4","-154","0","76.3","66.7","74.5","149","90.1","1250"
"4",="4907","富宇","39.7","0","0","1.51","18.14","0.66","7.9","127","0","0","0","0","0","0","20.7","42.6","88.9","100","74.3","1200"
"5",="6596","寬宏藝術","50.7","-0.9","-1.74","2.28","15.95","2.43","17","219","","","","","","83.7","85.6","161","56","150","0","1000"
"6",="5498","凱崴","11","+0.1","+0.92","0.18","2.11","0.03","0.35","87.7","0","0","0","0","0","0","8.18","0","7.14","38.5","0","999"
"7",="1316","上曜","11.1","+0.05","+0.45","-0.33","-3.93","0.39","4.7","105","0","0","0","0","0","0","71.4","219","0","0","0","966"
"8",="1240","茂生農經","45.45","-0.4","-0.87","3.79","26.5","1.93","13.5","144","","","","","","38.4","54","46.9","49.9","45","56","714"
"9",="4123","晟德","45.3","-0.2","-0.44","2.97","35.59","0.86","10.26","65.1","0","0","0","0","0","0","306","8.34","-201","17.6","67.6","583"
"10",="1710","東聯","18.9","-0.15","-0.79","0.81","9.66","0.9","10.8","175","54.9","91.3","82.8","765","-357","-31.2","87.1","87.1","750","0","68","500"
"11",="2630","亞航","35.9","-1.3","-3.49","0.76","9.11","0.59","7.13","149","21.9","94.7","80.6","68.2","0","83.8","110","769","21.6","42.5","47.2","450"
"12",="8089","康全電訊","18.25","-0.2","-1.08","1.31","15.73","0.77","9.27","101","0","0","0","7.94","0","812","49","23.5","51.3","50.3","-216","438"
"13",="6593","台灣銘板","71.3","+0.7","+0.99","1.14","7.96","0.83","5.8","48.5","","","","","","18.3","55.3","65.2","-82","-217","83.3","417"
"14",="4190","佐登-KY","65.8","-0.5","-0.75","5.12","46.11","3.22","28.99","102","","","","57.9","77.5","75.1","80.1","49.9","49.7","45.4","70.3","413"
"15",="8104","錸寶","34","-0.9","-2.58","4.82","33.76","1.58","11.05","92.1","","","","","","4.23","7.62","53","46.1","97.9","70.1","366"
"16",="1813","寶利徠","20","0","0","1.25","14.96","1.18","14.22","261","65.9","59.4","93.9","47.8","94.3","92.6","2000","146","95.2","","-179","357"
"17",="2405","輔信","15.4","-0.35","-2.22","0.07","0.79","0.13","1.52","34.2","0","52","50.8","0","0","-41.4","0","0","0","0","0","349"
"18",="1324","地球","16.5","-0.45","-2.65","0.44","5.34","0.42","5","440","63.2","87.7","224","52.6","51.9","46.5","37.5","1500","750","136","2000","333"
"19",="1470","大統新創","18.7","-0.1","-0.53","0.44","5.25","0.47","5.62","123","40.8","0","88.2","77.9","84.5","100","102","70.2","216","132","234","324"
"20",="8096","擎亞","11","0","0","0.72","8.62","0.38","4.54","47.2","55.9","80.9","0","0","4.44","0","40","0","34.5","28.2","22.1","300"
"21",="4430","耀億","21.65","+0.3","+1.41","1.97","23.62","1.09","13.13","72.8","68.1","53.6","62.9","51.7","53.3","65.8","286","58.4","21.5","-208","66.7","294"
"22",="1325","恆大","22.6","-0.05","-0.22","2.81","33.66","1.61","19.35","83.9","53.7","60.6","90.3","77.6","70","69","68.6","71.4","69.8","51.8","61.3","263"
"23",="6679","鈺太","347","0","0","6.95","41.7","4.36","26.17","94","","","","","","","99","54.4","60.2","66","31.6","253"
"24",="3002","歐格","13.65","+0.05","+0.37","0.39","4.64","0.36","4.32","99.5","273","71.8","200","104","85.4","84.7","34.2","0","73.4","17.9","0","250"
"25",="3360","尚立","12.1","-0.1","-0.82","0.5","5.99","0.58","6.98","65.4","0","87.7","0","52.6","138","90.9","-105","69","93.9","99","8.7","250"
"26",="6194","育富","31.15","-0.15","-0.48","0.71","8.52","0.95","11.34","54.1","77.1","85.3","150","91.5","-129","-57.3","-134","92.6","64.7","62.5","96.2","250"
"27",="6210","慶生","30.15","-0.05","-0.17","3.76","45.13","3.05","36.6","94.2","78.5","66.4","81.8","69.3","74.1","61.2","84.1","101","69","92.6","102","250"
"28",="5604","中連","44.15","+0.05","+0.11","3.1","37.17","3.2","38.34","132","90","122","144","151","84","205","190","93.1","91.9","90.3","90.4","235"
"29",="6108","競國","19.35","-0.4","-2.03","1.66","19.91","1.18","14.1","61.7","42.1","66.2","90.9","53.1","0","63.3","78.9","72","72.1","-96.2","70","227"
"30",="5546","永固-KY","31.25","+0.45","+1.46","5.26","21.03","4.08","16.33","125","","","","","","","","","56","58","157","227"
"31",="1776","展宇","16.1","-0.1","-0.62","1.29","15.44","1.09","13.03","74.2","42.9","34.1","55.6","87","75.6","99.4","111","-163","98.3","154","73.2","222"
"32",="5493","三聯","48.25","-0.25","-0.52","3.09","37.12","2.07","24.88","75.9","60.2","48.7","82.5","61.4","70.7","68","87","41.2","70.9","49.3","58.4","213"
"33",="6288","聯嘉","31.3","-0.95","-2.95","0.43","5.17","0.33","3.98","116","63.2","0","57.1","0","47.6","73.5","74.4","60.4","64.6","82.4","667","201"
"34",="3306","鼎天","47.6","-1.6","-3.25","0.82","9.79","0.92","11.1","136","97.7","99.4","89.1","85.4","90.1","238","-55.6","500","69.3","143","76.2","200"
"35",="6209","今國光","27.1","-0.3","-1.09","-0.01","-0.1","0.42","5.1","240","51.3","61.8","130","0","0","2500","0","0","0","0","-54.9","189"
"36",="8042","金山電","35.15","-0.05","-0.14","3.05","36.64","2.26","27.08","142","55.7","64.2","66","63.4","73.9","64.6","71.8","196","0","778","80.6","185"
"37",="4533","協易機","24.45","-0.65","-2.59","0.69","8.26","0.45","5.38","99.5","69.4","55.4","21.4","47.2","87.7","56.6","97.8","75","208","200","97.2","178"
"38",="2923","鼎固-KY","22.65","0","0","1.38","15.14","0.63","7.57","108","","14","11.2","13.2","18","26.1","450","76.6","47.2","176","179","176"
"39",="6689","伊雲谷","118","-0.5","-0.42","3.1","15.5","1.7","8.49","69.4","","","","","","","","55.7","8.18","35.6","73.5","174"
"40",="2596","綠意","23.35","-0.05","-0.21","2.09","25.09","1.42","16.99","102","179","58.7","52.5","61.7","143","51.9","73.5","54.9","244","82.8","49.2","172"
"41",="1808","潤隆","95.3","+2.6","+2.8","3.76","45.11","3.21","38.47","97","84.4","32.8","85.7","108","116","115","149","98.6","93.9","62.5","46.9","171"
"42",="3557","嘉威","55.7","+0.8","+1.46","1.12","13.44","1.67","20","28.9","0","0","0","0","0","0","0","0","23.7","66","88.6","169"
"43",="8462","柏文","118","-1","-0.84","4.19","37.72","2.97","26.69","55.9","","","","30.3","43.1","46.7","56.9","68.8","75.3","85.8","-67.6","163"
"44",="2401","凌陽","30.5","+0.2","+0.66","0.06","0.74","0.54","6.48","456","0","0","0","83.3","89","250","97.2","3600","1000","95.5","99.5","162"
"45",="6655","科定","124","-0.5","-0.4","4.31","30.2","4.87","34.1","106","","","","","","88.7","54.4","57.1","88.9","242","47.9","162"
"46",="3518","柏騰","33.35","-0.65","-1.91","-1.71","-20.53","0.58","6.95","33.1","102","-16.6","89.3","-68.3","-52.7","-10","0","0","0","0","192","161"
"47",="2477","美隆電","19.2","0","0","1.69","20.3","1.1","13.21","58.8","0","89.6","65.5","-132","90.2","0","81.2","100","75.5","158","18.1","160"
"48",="2344","華邦電","26.05","-2.3","-8.11","1.04","12.44","0.42","5","35.6","0","0","0","0","11.1","74.1","64.9","47.8","39","14.2","21.6","154"
"49",="2363","矽統","49.95","+2.25","+4.72","-0.43","-5.18","0.25","2.95","14.7","0","0","0","0","0","0","0","0","-82.6","-170","276","154"
"50",="5312","寶島科","79.8","+0.2","+0.25","5.13","61.56","3.78","45.4","77.8","69.3","66.5","70.7","61.3","57.9","60.2","75.1","90","63.4","78","89","152"
"51",="1233","天仁","35.4","+0.15","+0.43","1.81","21.73","1.73","20.8","106","88.8","88.8","90.2","82.7","86.6","85.6","116","98.4","92.5","127","167","149"
"52",="2908","特力","20.05","-0.1","-0.5","1.19","14.32","1.07","12.9","114","63.8","104","76.9","79.7","72","81.2","74.5","163","355","66.9","81","149"
"53",="2605","新興","23.1","-0.65","-2.74","1.26","15.06","0.82","9.85","114","48.4","43.7","57","66.2","60.2","66","66.7","182","333","208","83.3","147"
