"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","2011EPS(元)","2012EPS(元)","2013EPS(元)","2014EPS(元)","2015EPS(元)","2016EPS(元)","2017EPS(元)","2018EPS(元)","2019EPS(元)","2020EPS(元)","2021EPS(元)","2022EPS(元)"
"1",="2330","台積電","546","-5","-0.91","14.67","5.18","6.42","7.26","10.18","11.82","12.89","13.23","13.54","13.32","19.97","23.01","39.2"
"2",="2603","長榮","108","+1","+0.93","11.31","-0.89","0.1","-0.43","0.33","-1.26","-1.88","1.97","0.07","0.02","5.06","45.57","87.07"
"3",="2609","陽明","45.3","-0.2","-0.44","7.06","-3.33","-0.63","-0.9","0.1","-2.24","-9.22","0.17","-2.53","-1.66","4.51","48.73","51.71"
"4",="2317","鴻海","108.5","-1.5","-1.36","8.55","7.65","8.02","8.16","8.85","9.42","8.6","8.01","8.03","8.32","7.34","10.05","10.21"
"5",="2454","聯發科","679","-14","-2.02","26.85","12.35","12.81","20.51","30.04","16.6","15.16","15.56","13.26","14.69","26.01","70.56","74.59"
"6",="2615","萬海","50.6","+0.5","+1","7.53","0.01","0.83","0.96","2.37","1.78","0.51","1.15","0.5","1.61","5.1","42.35","33.17"
"7",="2303","聯電","45.35","+0.2","+0.44","1.78","0.84","0.49","1.01","0.97","1.08","0.68","0.79","0.58","0.82","2.42","4.57","7.09"
"8",="3711","日月光投控","110.5","-0.5","-0.45","8.56","","","","","","","5.63","5.95","3.96","6.47","14.84","14.53"
"9",="2881","富邦金","65.4","0","0","5.58","3.39","3.07","3.9","5.89","6.21","4.73","5.19","4.52","5.46","8.54","12.49","3.54"
"10",="2882","國泰金","46.45","-0.15","-0.32","4.14","1.1","1.52","3.28","3.93","4.58","3.79","4.47","3.95","4.76","5.41","10.34","2.58"
"11",="2412","中華電","118","0","0","4.96","6.04","5.25","5.12","4.98","5.52","5.16","5.01","4.58","4.23","4.31","4.61","4.7"
"12",="1301","台塑","84","-0.5","-0.59","5.57","5.84","2.43","3.25","2.81","4.85","6.19","7.76","7.78","5.86","3.15","11.21","5.68"
"13",="2308","台達電","357","+5.5","+1.56","8.09","4.58","6.13","7.32","8.49","7.67","7.24","7.08","7","8.9","9.81","10.32","12.58"
"14",="1303","南亞","69.6","-0.1","-0.14","4.61","2.95","0.55","3.19","4","4.5","6.16","6.87","6.65","2.91","3.24","10.25","4.05"
"15",="2891","中信金","24.9","0","0","1.94","1.61","1.66","1.5","2.58","2.1","1.43","1.91","1.85","2.16","2.15","2.73","1.55"
"16",="3037","欣興","174.5","-2.5","-1.41","3.6","3.26","2.24","0.76","0.32","0.19","0.01","0.28","1.15","2.24","3.74","8.98","20.08"
"17",="2382","廣達","223.5","+13","+6.18","5.41","6.02","6.01","4.84","4.9","4.62","3.93","3.73","3.92","4.14","6.57","8.73","7.51"
"18",="3034","聯詠","395","+1.5","+0.38","17.75","6.16","7.36","7.81","11.85","10.52","8.22","8.26","10.5","13.03","19.42","63.87","45.96"
"19",="5871","中租-KY","186","-1","-0.53","8.88","3.35","4.25","5.91","6.23","6.02","6.36","8.29","10.37","11.65","12.2","14.8","17.17"
"20",="2327","國巨","470","+3","+0.64","20.43","0.76","0.5","0.75","2.3","5.48","6.83","15.64","80.3","16.35","25.52","46.46","44.22"
"21",="3008","大立光","2115","-10","-0.47","143.68","38.76","41.61","71.64","144.91","180.08","169.47","193.65","181.67","210.7","182.9","139.28","169.52"
"22",="6770","力積電","28.4","-0.6","-2.07","2.71","","","","","","","","2.56","-0.94","1.23","4.92","5.8"
"23",="2885","元大金","24.75","-0.15","-0.6","1.5","1.47","0.63","0.78","1.62","1.02","1.16","1.37","1.59","1.75","1.99","2.87","1.72"
"24",="2892","第一金","27.2","-0.4","-1.45","1.39","1.08","1.26","1.26","1.52","1.55","1.45","1.27","1.4","1.55","1.31","1.52","1.56"
"25",="5880","合庫金","27.6","-0.2","-0.72","1.13","0.04","1.05","1","1.13","1.22","1.16","1.17","1.24","1.33","1.24","1.51","1.45"
"26",="8046","南電","238.5","0","0","4.32","4.91","-3.22","-1.29","2.5","1.33","-1.07","-3.03","-0.9","0.48","5.67","16.38","30.05"
"27",="1605","華新","38.1","-0.25","-0.65","1.48","-1.2","-0.9","-0.77","0.64","0.45","1.33","1.97","3.53","0.95","2.04","4.27","5.45"
"28",="2886","兆豐金","37.65","-0.45","-1.18","1.91","1.57","1.81","1.96","2.43","2.35","1.65","1.89","2.07","2.13","1.84","1.89","1.32"
"29",="2002","中鋼","27.65","-0.25","-0.9","1.18","1.36","0.39","1.05","1.43","0.49","1.04","1.09","1.58","0.57","0.05","4.02","1.15"
"30",="2880","華南金","22.3","0","0","1.2","1.22","1.04","1.11","1.41","1.42","1.34","1.09","1.27","1.31","0.67","1.3","1.27"
"31",="1216","統一","72.3","+1.6","+2.26","3.12","2.08","2.03","2.48","2.04","2.48","2.56","7.01","3.07","3.35","3.79","3.5","3.02"
"32",="2883","開發金","12.4","-0.1","-0.8","0.78","0.15","0.54","0.56","0.72","0.58","0.4","0.8","0.54","0.88","0.87","2.34","0.98"
