"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","2011業外損益(%)","2012業外損益(%)","2013業外損益(%)","2014業外損益(%)","2015業外損益(%)","2016業外損益(%)","2017業外損益(%)","2018業外損益(%)","2019業外損益(%)","2020業外損益(%)","2021業外損益(%)","2022業外損益(%)"
"1",="4174","浩鼎","81.7","-0.3","-0.37","-4702","","0","0","0","","5.24","-49951","1289","-2568","-19.7","-140","4366"
"2",="4529","淳紳","9.37","+0.85","+9.98","2191","-4.28","6.06","47466","-17.6","-18.7","170","-2157","-1933","-4836","-1324","-12738","1682"
"3",="6492","生華科","45.55","+0.05","+0.11","1297","","","11.8","32","","2848","","1275","1366","790","3267","786"
"4",="6169","昱泉","20.2","-0.2","-0.98","84.7","1.8","2.08","1.66","1.62","-4.65","8.08","-0.03","-1.53","12.9","4.88","212","778"
"5",="2443","昶虹","3.15","0","0","70","7.03","-72.4","168","35.8","-0.59","2.68","-0.21","-3.85","5.42","-1.77","8.78","691"
"6",="2363","矽統","37.8","+0.6","+1.61","120","22.9","1.5","23.2","39.6","160","111","34.9","103","62.1","119","219","539"
"7",="5514","三豐","20","0","0","216","-0.24","5.36","-0.01","0.5","-35.5","1256","106","8.66","2.31","6.23","738","504"
"8",="1418","東華","23.6","+0.1","+0.43","62.9","3.39","2.65","1.15","1.39","2.2","-0.5","-1.68","-2.38","-10.3","51.9","219","488"
"9",="6222","上揚","23.95","+0.95","+4.13","46","5.05","19.7","-14.5","5.19","-12","-19.8","77.6","6.37","0.08","-0.33","0.75","483"
"10",="2915","潤泰全","60.7","-0.1","-0.16","173","14.3","27.3","12.8","68.3","64.3","76.3","21.3","76.8","268","343","654","454"
"11",="6240","松崗","22.05","-0.2","-0.9","58.5","-4.7","9.46","1.07","3.1","13.7","17.2","3.27","102","-144","19.6","258","423"
"12",="6841","長佳智能","97","-0.7","-0.72","245","","","","","","","","","385","178","30","387"
"13",="1235","興泰","77","0","0","135","6.8","7.29","-12.3","53.4","48","225","473","173","55.4","64.8","216","315"
"14",="6404","通訊-KY","19.95","-0.1","-0.5","22.2","0.01","0.2","9.9","0.96","6.3","4.96","-30.2","-17.4","-7.17","21.7","55","222"
"15",="5302","太欣","10.1","-0.25","-2.42","43.6","3.36","3.94","5.69","14.4","9.71","8.39","54","33.3","31.1","68.8","69.7","220"
"16",="5523","豐謙","25.4","0","0","-104","-71.2","-289","-240","-2.05","-848","-17.9","-3.11","-1.72","-3.43","-0.02","11.6","220"
"17",="5205","中茂","31.95","+2.8","+9.61","68.1","-4.05","-25.8","-214","3.04","437","6.03","2.25","320","72.2","7.75","-0.12","213"
