"排名","代號","名稱","成交","漲跌價","漲跌幅","平均ROE(%)","2011ROE(%)","2012ROE(%)","2013ROE(%)","2014ROE(%)","2015ROE(%)","2016ROE(%)","2017ROE(%)","2018ROE(%)","2019ROE(%)","2020ROE(%)","2021ROE(%)","2022ROE(%)"
"1",="8080","永利聯合","10.5","+0.3","+2.94","-48.9","-3.71","0.11","5.43","-2.72","-17","-7.82","-29.1","-190","-111","-164","-237","170"
"2",="6287","元隆","19","-1","-5","-41.8","","-44.2","-62.5","-73.4","-83.9","-82.3","-29.8","-9.7","-133","-94.5","76.2","77"
"3",="2603","長榮","106","+2","+1.92","17","-5.42","-0.34","-3.39","3.26","-7.51","-14.9","11.1","0.11","-0.31","32.9","115","73.7"
"4",="2025","千興","5.76","-0.05","-0.86","-4.88","-14.6","-20.5","-18.3","-5.18","-29.7","7.76","12","-46.8","-24.5","-39.5","48.8","72.1"
"5",="8421","旭源","12.85","+0.35","+2.8","2.53","7.24","4.58","-9.24","-24.8","1.04","17.1","2.79","3.58","-1.5","-16.2","-20.9","66.6"
"6",="6409","旭隼","1565","+65","+4.33","40.7","33.3","41.9","35.9","37","37.9","34.2","32.2","42","45.7","43","42.7","63.1"
"7",="2609","陽明","42.55","+0.5","+1.19","5.29","-25.4","-4.67","-8.07","1.21","-22.2","-62","2.3","-26.9","-21.4","45.6","122","62.6"
"8",="1218","泰山","24.95","+0.3","+1.22","9.47","5.21","-5.53","-3.55","2.1","3.66","3.53","8.69","9.09","8.95","12.5","8.44","60.5"
"9",="3529","力旺","1810","+40","+2.26","29.8","11.8","10.4","18.2","24.3","26.6","28.6","30","32.3","31.6","38.1","48.3","57.1"
"10",="3293","鈊象","571","+12","+2.15","30.1","28.8","10","4.19","8.56","11.1","28.9","25.8","23.8","45.1","58.5","60.6","55.8"
"11",="5278","尚凡","176.5","-1.5","-0.84","26.8","","52.2","31.6","4.6","-30.9","-51.7","-6.48","73.8","59.9","48.2","57.9","55.7"
"12",="3443","創意","1365","+80","+6.23","20.8","16.2","18","8.4","12.9","14.2","15.3","22.1","23.5","14.6","19.3","30","55.7"
"13",="5274","信驊","2275","+150","+7.06","34.8","","31.9","30.2","35.8","35.5","30.2","26.7","31.1","33.5","35.6","40.1","52.4"
"14",="2615","萬海","47.9","+0.3","+0.63","21","0.11","6.24","6.98","15.9","11","3.27","7.47","3.3","10.1","28.2","110","50.3"
"15",="4763","材料-KY","813","+42","+5.45","22","","7.42","20.6","9.55","25.1","20.8","12.1","16.8","24.9","34.2","22.2","48.2"
"16",="5609","中菲行","75.2","+0.2","+0.27","21.6","11.2","8.65","8.3","11.7","7.03","13.5","10.8","13.5","18.8","43.1","64.5","48.1"
"17",="6670","復盛應用","196","+1.5","+0.77","44.4","","","","27.7","47","85.9","59.5","45.4","35.9","17.8","32.5","48"
"18",="8478","東哥遊艇","458","+16.5","+3.74","16.8","","","","9.39","16.2","18.5","12.1","12.9","1.71","3.71","31","45.5"
"19",="4728","雙美","195","+2","+1.04","12.5","11.7","2.7","7.27","2.99","-7.26","0.31","2.93","12.2","15.2","30.4","25.7","45.5"
"20",="2345","智邦","403","+4.5","+1.13","24.3","12.2","12.1","7.83","8.78","14.8","22.2","27.6","29.6","42.9","37","31.3","45.4"
"21",="8924","大田","85.2","+1.5","+1.79","14.4","3.13","3.09","-3.3","-1.59","-2.61","-9.48","44.1","1.5","21.1","19.1","53.9","43.6"
"22",="8476","台境","62.5","+1.4","+2.29","-6.2","","","","7.13","7.75","8.39","0.3","-68.6","-37.4","-12.7","-4.12","43.5"
"23",="6669","緯穎","1700","-10","-0.58","39.6","","","","12.8","35.4","22.9","50.1","80.9","39.8","38.5","33.3","42.9"
