"排名","代號","名稱","成交","財報季度","現金(%)","應收帳款(%)","存貨(%)","速動資產(%)","流動資產(%)","投資(%)","固定資產(%)","無形資產(%)","其他資產(%)","流動負債(%)","長期負債(%)","其他負債(%)","負債總額(%)","股東權益(%)","每股淨值(元)","財報評分"
"1",="3008","大立光","2145","23Q2","57.9","3.26","3.54","64","68.2","1.36","21.3","0.1","8.79","14.8","","0.04","15.1","84.9","1172.74","79"
"2",="2357","華碩","362","23Q1","15.4","20.4","26.8","36.4","66","24.1","4.2","0.46","0.66","45","0.03","0.46","49.6","50.4","295.02","30"
"3",="2327","國巨","464","23Q1","16.4","7.71","8.84","30.6","40.6","9.45","22","25","1.23","35.1","17.6","2.83","57.6","42.4","290.16","62"
"4",="2603","長榮","109","23Q1","45.7","2.72","0.91","52.3","53.9","5.83","25","0.15","3.33","18.9","5.81","0.58","34.4","65.6","261.66","57"
"5",="6669","緯穎","1555","23Q1","27.8","30.9","34.6","58.7","94.3","0.18","2.77","0.13","1.04","44.7","11","0.96","57.8","42.2","240.28","40"
"6",="3533","嘉澤","723","23Q1","32.4","26","8.21","58.6","67.5","1.2","24.7","0.5","1.75","18.7","3.01","0.07","23.9","76.1","236.77","74"
"7",="2474","可成","174","23Q1","26.2","2.5","1.45","61.3","62.9","29.5","5.7","0.01","0.08","30.9","","0.01","33.7","66.3","236.42","55"
"8",="4966","譜瑞-KY","899","23Q1","27.5","7.11","19.6","34.6","57.7","","2.39","15.3","21.9","10.4","","","10.8","89.2","231.09","61"
"9",="6510","精測","516","23Q2","33.6","6.68","4.63","40.3","47.2","","51.1","0.59","0.28","12.5","","0.02","12.7","87.3","228.73","52"
"10",="5269","祥碩","975","23Q1","9.17","6.5","5","19.1","28.2","67.2","2.84","0.64","0.14","16","","0","16.2","83.8","218.5","68"
"11",="2454","聯發科","706","23Q1","22.8","10","11.3","35.3","47.6","21.8","8.77","12.8","5.66","40.3","0","1.09","44.6","55.4","211.37","60"
"12",="8299","群聯","401","23Q1","18.8","12.4","40.8","33.1","74.1","7.48","14.6","0.59","1.28","18.4","6.92","2","27.6","72.4","194.03","47"
"13",="1590","亞德客-KY","983","23Q1","9.59","19.1","13.1","29","42.7","0.04","52.9","0.07","1.8","29.2","0.02","","30.7","69.3","190.09","66"
"14",="3661","世芯-KY","1855","23Q1","20.6","13.1","41.6","43.7","89.7","2.58","5.66","0.3","0.92","28.6","","0.11","29.2","70.8","189.29","57"
