"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","20Q2EPS(元)","20Q3EPS(元)","20Q4EPS(元)","21Q1EPS(元)","21Q2EPS(元)","21Q3EPS(元)","21Q4EPS(元)","22Q1EPS(元)","22Q2EPS(元)","22Q3EPS(元)","22Q4EPS(元)","23Q1EPS(元)"
"1",="3008","大立光","2160","-30","-1.37","38.85","37.19","43.74","51.87","39.62","22.07","39.22","38.31","41.3","37.06","61.01","30.15","24.64"
"2",="2603","長榮","105","-0.5","-0.47","10.2","0.66","1.7","2.79","7.04","8.09","15.33","15.39","19.16","19.33","22.79","7.78","2.38"
"3",="6669","緯穎","1555","-170","-9.86","15.86","12.41","12.85","15.63","9.72","13.2","11.59","14.95","13.42","20.37","24.69","22.59","18.86"
"4",="2454","聯發科","709","-4","-0.56","14.85","4.58","8.43","9.37","16.21","17.44","17.93","19.03","21.02","22.39","19.55","11.67","10.64"
"5",="3533","嘉澤","736","+6","+0.82","10.47","8.69","7.46","6.27","8.06","6.85","8.93","9.63","13.04","14.21","17.95","13.63","10.96"
"6",="6409","旭隼","1660","-60","-3.49","8.98","9.57","6.33","5.25","4.87","7.09","7.91","7.27","5.75","14.71","17.3","13.17","8.55"
"7",="2327","國巨","463","+1.5","+0.33","10","7.35","5.76","7.87","10.13","12.82","13.85","9.61","11.59","11.03","11.97","8.1","9.9"
"8",="5274","信驊","2230","-20","-0.89","10.27","9.44","6.82","6.74","7.21","8.8","10.04","12.26","13.64","14.91","15.83","12.59","4.93"
"9",="4966","譜瑞-KY","911","-15","-1.62","14.12","10.81","13.83","12.25","13.13","16","18.81","18.5","20.91","22.58","12.45","5.69","4.51"
"10",="6488","環球晶","499","-13","-2.54","8.13","7.8","7.79","7.9","6.18","9.09","7.13","4.87","4.01","6.24","11.75","13.31","11.49"
"11",="3293","鈊象","606","-3","-0.49","13.57","11.02","13.22","12.9","16.73","16.62","17.09","16.77","18.74","9.46","10.59","9.46","10.24"
"12",="2330","台積電","561","-6","-1.06","7.14","4.66","5.3","5.51","5.39","5.18","6.02","6.41","7.82","9.14","10.83","11.41","7.98"
"13",="2059","川湖","822","-58","-6.59","6.38","1.75","3.11","2.56","4.55","4.04","6.62","6.55","9.55","10.48","15.56","6.98","4.8"
"14",="6121","新普","303.5","-1","-0.33","8.67","6.39","7.8","9.51","7.28","8.57","9.82","8.84","8.1","10.5","10.97","9.55","6.72"
"15",="6781","AES-KY","680","-14","-2.02","7.43","0.81","4.34","6.65","9.29","7.89","7.71","7.58","8.73","9.83","10.69","8.42","7.19"
"16",="2609","陽明","46.45","-0.35","-0.75","8.91","-0.03","1.05","3.81","7.49","10.46","15.14","16.33","17.35","15.9","14.25","4.22","0.97"
"17",="6670","復盛應用","198","-1","-0.5","5.45","0.61","1.01","3.72","5.84","4.35","3.34","4.5","7.59","10.29","10.34","8.43","5.42"
"18",="6414","樺漢","294","-8","-2.65","5.14","3.63","3.02","3.81","2.06","2.9","3.71","5.26","2.98","4.17","6.16","19.31","4.64"
"19",="4736","泰博","185","0","0","6.27","6.15","4.08","3.17","5.24","6.76","6.34","3.06","6.69","16.77","8.57","4.21","4.17"
"20",="3034","聯詠","432","-5","-1.14","11.12","4.2","5.6","5.99","9.66","16.08","20.16","17.97","18.3","13.95","7.07","6.64","7.81"
"21",="6515","穎崴","720","-36","-4.76","5.42","5.07","5.14","3.88","1.38","2.53","3.59","7.01","3.52","6.13","10.82","11.82","4.18"
"22",="3592","瑞鼎","326","-10","-2.98","11.01","4.04","2.82","6.29","11.14","16.77","19.1","18.23","21.05","17.89","7.32","5.23","2.21"
"23",="5269","祥碩","953","-4","-0.42","10.6","12.95","13.44","11.07","10.35","11.04","14.56","10.29","12.28","10.26","10.77","4.56","5.63"
"24",="3443","創意","1405","-70","-4.75","4.26","0.27","0.8","4.54","2.3","1.64","3.11","3.84","4.07","5.67","7.9","10.05","6.97"
"25",="1590","亞德客-KY","977","+14","+1.45","7.97","6.97","8.16","8.37","7.66","9.46","8.47","8.39","8.39","8.01","6.96","6.71","8.11"
"26",="6472","保瑞","873","-20","-2.24","4.65","1.06","1.34","8.1","6.18","2.54","2.04","2.06","2.38","3.51","7.57","5.37","13.62"
"27",="3406","玉晶光","406.5","+4.5","+1.12","6.21","4.44","9.44","8.96","2.5","1.06","8.71","8.25","2.9","3.32","15.35","7.5","2.11"
"28",="8046","南電","251.5","+2","+0.8","4.58","1.29","1.62","2.05","2.45","3.61","4.82","5.5","6.01","7.53","8.54","7.97","3.6"
"29",="3661","世芯-KY","1895","-65","-3.32","5.52","3.15","3.8","3.86","5.68","5.62","5.17","5.06","6.32","6.02","6.23","7.2","8.09"
"30",="6691","洋基工程","273","-4","-1.44","4.82","4.12","1.16","4.35","3.32","5.07","3.73","4.78","4.68","6.23","8.17","6.38","5.81"
"31",="4536","拓凱","165","-3.5","-2.08","3.7","2.35","2.39","2.01","2.51","1.99","1.81","2.85","3.15","7.88","9.38","4.48","3.6"
"32",="3665","貿聯-KY","298.5","-5.5","-1.81","4.73","3.86","3.83","4.5","2.35","4.15","4.55","4.25","3.5","8","7.77","6.01","4.01"
"33",="2379","瑞昱","439","+6.5","+1.5","6.85","3.98","4.92","5.15","5.98","8.43","9.57","9.02","10.15","9.14","8.21","4.16","3.5"
"34",="4770","上品","305.5","-9.5","-3.02","4.2","2.26","1.55","3.24","2.79","3.04","4.03","4.15","4.58","5.65","5.94","6.41","6.81"
"35",="2404","漢唐","221","-1","-0.45","4.92","5.85","6.76","4.64","3.92","2.92","3.5","4.19","2.79","4.63","8.43","5.34","6.01"
"36",="3611","鼎翰","248","-8","-3.12","4.98","3.28","4.51","6","4.13","5.01","4.98","4.35","3.66","7.03","5.78","6.25","4.81"
"37",="3131","弘塑","552","-61","-9.95","5.37","3.55","4.06","3.93","4.85","5.06","5.12","8.45","5.9","6.2","7.99","5.22","4.1"
"38",="5904","寶雅","486","-13","-2.61","5.15","4.08","7.03","5.43","6.2","2.91","3.92","5.49","5.01","2.84","6.07","6.43","6.43"
"39",="3413","京鼎","182","-1.5","-0.82","4.88","4.68","4.03","3.35","3.45","4.6","4.9","4.12","5.93","6.47","8.44","4.43","4.15"
"40",="8478","東哥遊艇","556","-10","-1.77","3.16","2.98","-3.27","1.81","0.1","4.48","2","2.94","4.4","6.15","4.72","4.66","7"
"41",="3558","神準","291","-23.5","-7.47","3.5","1.38","2.06","2.51","1.83","1.68","2.47","3.18","4.78","3.97","6.33","6.62","5.14"
"42",="6491","晶碩","347","-6","-1.7","4.47","2","2.9","4.02","3.21","4.22","5.16","5.25","5.14","4.89","6.02","5.98","4.83"
"43",="1476","儒鴻","536","-5","-0.92","4.96","2.59","4.56","5.81","4.95","5.56","3.51","4.75","6.53","7.43","7.91","2.89","3.01"
"44",="6763","綠界科技","462.5","-8.5","-1.8","4.96","3.6","3.26","3.69","4.59","6.56","5.98","5.15","4.87","5.14","5.4","6.22","5.09"
"45",="5289","宜鼎","288.5","-11.5","-3.83","4.37","3.09","2.39","2.16","3.17","5.8","6.48","3.52","4.64","6.43","6.3","4.47","4.02"
"46",="8016","矽創","230","-0.5","-0.22","7.64","2.43","2.63","4.05","6.55","13","15.69","14.79","11.82","9.12","6.08","3.07","2.48"
"47",="3529","力旺","1745","-90","-4.9","3.98","2.28","2.27","2.6","3.93","3.27","3.72","3.86","4.91","5.48","5.45","5.77","4.2"
"48",="8464","億豐","322.5","-12","-3.59","4.72","4.12","5.05","4.41","4.38","4.18","4.7","4.89","5.14","5.66","5.24","5.02","3.85"
"49",="4763","材料-KY","841","-9","-1.06","3.57","1.95","1.62","3.98","1.62","1.91","1.84","1.06","6.82","3.54","5.28","5.83","7.44"
"50",="8924","大田","90.4","-0.9","-0.99","4.07","1.67","2.58","1.84","3.88","5.6","6.06","4.61","3.12","7.43","4.41","6.43","1.18"
"51",="3653","健策","554","+13","+2.4","3.25","2.11","1.59","1.34","1.79","2.13","3.2","2.75","3.8","5.39","6.03","5.2","3.63"
"52",="2247","汎德永業","309","-9.5","-2.98","4.35","4.74","3.84","4.9","3.46","4.19","3.56","4.14","3.98","4.95","4.38","4.97","5.03"
"53",="8299","群聯","396.5","-13","-3.17","8.71","6.01","9.3","19.2","8.56","11.49","12.1","9.19","11.09","9.17","6.08","1.11","1.26"
"54",="2615","萬海","51.1","0","0","6.77","0.75","0.81","3.5","6.62","8.57","14.57","13.98","14.47","10.74","7.97","-0.01","-0.75"
"55",="9802","鈺齊-KY","121","-2","-1.63","2.51","0.99","1.05","1.05","1.75","0.7","1.84","2.09","2.89","5.17","6.93","3.21","2.5"
"56",="1565","精華","216","-1","-0.46","4.34","2.81","2.39","4.58","4.5","4.18","5.62","4.5","5.88","4.8","5.99","3.55","3.23"
"57",="8081","致新","205","-3.5","-1.68","5.03","2.73","3.55","3.23","4.66","6.11","7.89","6.79","8.02","7.47","5.2","1.77","2.97"
"58",="1264","德麥","284.5","-2","-0.7","4.23","3.56","4.83","4.36","4.07","3.65","3.92","4.87","4.43","4.08","4.3","4.29","4.45"
"59",="5536","聖暉*","150","-2.5","-1.64","5.16","5.36","3.48","5.05","3.13","5.82","5.72","6.43","6.16","6.42","5.57","5","3.75"
"60",="5871","中租-KY","201","-1.5","-0.74","3.84","2.87","3.25","3.24","3.43","3.74","3.77","3.84","4.94","4.35","4.42","3.87","4.35"
"61",="5483","中美晶","163","-5.5","-3.26","3.26","2.59","2.86","3","2.49","3.62","3.12","2.39","2.16","3.1","5.28","4.33","4.21"
"62",="6803","崑鼎","320","+2.5","+0.79","3.47","3.03","3.77","2.7","3.06","3.39","4.03","2.69","3.27","3.78","4.37","3.54","4.01"
"63",="5609","中菲行","75","+0.1","+0.13","3.83","3.75","2.16","1.94","2.38","4.46","4.23","6.42","4.54","7.39","4.1","2.63","2"
