"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","20Q2業外損益(億)","20Q3業外損益(億)","20Q4業外損益(億)","21Q1業外損益(億)","21Q2業外損益(億)","21Q3業外損益(億)","21Q4業外損益(億)","22Q1業外損益(億)","22Q2業外損益(億)","22Q3業外損益(億)","22Q4業外損益(億)","23Q1業外損益(億)"
"1",="6418","詠昇","17.7","-0.1","-0.56","-0.03","0.06","-0.05","-0.08","-0.09","-0.13","-0.1","-0.06","-0.1","-0.02","0.09","0.06","0.04"
"2",="6235","華孚","166","+11","+7.1","2.6","6.25","6.3","7.36","7.51","0.68","0.88","0.81","1.14","0.56","0.23","-0.16","-0.35"
"3",="3008","大立光","2135","+5","+0.23","21","-13.4","-13.8","-3.38","-5.97","-9.57","-2.27","-1.22","24.7","55.4","93.5","74.4","53.3"
"4",="8932","宏大","63.1","+1.7","+2.77","-0.13","-0.25","-0.19","-0.13","-0.14","-0.23","-0.26","-0.23","-0.18","-0.03","0.09","-0.01","-0.05"
"5",="8438","昶昕","26.3","-0.1","-0.38","0.25","","","0.03","0.06","0.02","0.09","0.18","0.32","0.46","0.55","0.46","0.29"
"6",="6669","緯穎","1495","+75","+5.28","-2.78","-5.31","-6.51","-3.54","-4.92","-3.37","-3.31","-3.91","-2.13","-2.35","4.59","0.63","-3.18"
"7",="4966","譜瑞-KY","1065","-10","-0.93","0.31","0.97","0.57","0.15","-0.21","-0.29","-0.28","-0.21","-0.1","0.1","0.47","1.08","1.48"
"8",="2454","聯發科","691","+3","+0.44","105","37.9","36.7","43.6","123","140","161","188","114","104","101","87.7","120"
"9",="6629","泰金-KY","47.75","-0.05","-0.1","0","-0.13","0.27","0.13","0.21","0.17","-0.32","-0.12","-0.08","-0.06","0.14","-0.02","-0.18"
"10",="6732","昇佳電子","323","-2","-0.62","0.57","0.15","0.14","0.13","0.09","0.18","0.39","0.71","0.96","0.97","1.24","0.99","0.88"
"11",="5274","信驊","2895","+45","+1.58","0.21","-0.34","-0.5","-0.44","-0.27","-0.68","-0.65","-0.42","-0.01","0.55","2.15","1.66","1.42"
"12",="6781","AES-KY","826","+13","+1.6","0.48","","0.29","-0.25","-0.68","-0.72","0.27","0.6","0.74","0.84","1.23","1.24","1.69"
"13",="6409","旭隼","2005","+40","+2.04","-0.01","1.19","-0.27","-0.81","-1.21","-1.39","-0.46","-0.34","-1.27","0.28","1.85","1.15","1.14"
"14",="6510","精測","597","+11","+1.88","-0.08","-0.94","-1.06","-0.18","-0.27","-0.21","-0.09","0.02","0.2","0.31","0.51","0.44","0.29"
"15",="6488","環球晶","498","+1","+0.2","-19.8","5.58","3.32","13.3","7.88","17.4","9.67","-12.5","-64.1","-99.5","-84.8","-48.8","14.9"
"16",="8299","群聯","417.5","+6","+1.46","20.9","7.57","14.8","58","55.7","57.4","48.6","6.53","5.99","6.37","7.43","-5.47","-12.3"
"17",="3592","瑞鼎","324","+3","+0.93","2.86","","","-1.05","-1.15","-1.56","-0.91","-0.28","3.24","7.26","9.03","8.68","5.38"
"18",="1565","精華","233","+1.5","+0.65","0.06","-0.96","-0.79","-0.59","-0.79","-0.96","-0.91","-0.78","0.03","0.99","2.05","2.08","1.4"
"19",="6415","矽力*-KY","375","-10","-2.6","1.79","-1.91","-3.07","2.16","2.1","3.34","4.41","-2.23","-2.28","0.01","1.16","7.29","10.5"
"20",="2357","華碩","312.5","-2","-0.64","91.7","53.6","74.8","81.6","110","110","106","97.6","115","97.5","96.2","86.3","72.9"
"21",="3293","鈊象","610","-8","-1.29","0.55","-0.99","-1.64","-1.67","-2.16","-2.58","-1.9","-1.11","0.45","3.02","6.15","5.14","3.89"
"22",="6456","GIS-KY","73.4","+0.5","+0.69","10.5","12.9","12.7","13.7","14","12.4","11","7.82","6.69","5.26","6.1","9.26","13.8"
"23",="6515","穎崴","848","+70","+9","0.14","-0.04","0.01","-0.06","0","-0.01","-0.02","0.04","0.25","0.32","0.62","0.35","0.19"
"24",="6763","綠界科技","520","-2","-0.38","0.09","0.02","0.03","0.02","0.02","0.02","0.02","0.03","0.03","0.09","0.15","0.28","0.39"
"25",="6670","復盛應用","225.5","+4.5","+2.04","1.91","0.74","-0.97","-1.66","-1.53","-1.46","-0.71","0.56","1.29","4.88","9.37","6.96","5.39"
"26",="6807","峰源-KY","28.4","-0.1","-0.35","0.79","","","0.48","","","0.82","0.34","0.31","0.9","1.17","1.13","1.19"
"27",="5269","祥碩","1055","0","0","13","4.24","6.46","8.72","11.7","11.3","13.9","16.3","18.3","18.6","18.7","16.1","12.1"
"28",="2247","汎德永業","338","0","0","0.25","0.22","0.27","0.34","0.47","0.18","0.22","0.13","0.11","0.21","0.24","0.25","0.31"
"29",="6691","洋基工程","346.5","+6.5","+1.91","0.16","0.07","0.15","0.11","0.14","0.07","0.1","0.1","0.18","0.22","0.25","0.29","0.27"
"30",="3533","嘉澤","858","-2","-0.23","3.28","0.65","-0.47","-0.38","-0.35","-0.31","0.71","1.81","3.56","6.51","11.6","9.2","6.77"
"31",="1590","亞德客-KY","1040","+15","+1.46","2.68","-5.41","0.79","3.78","4.35","4.37","2.24","1.68","6.09","5.75","6.22","2.81","-0.58"
"32",="2498","宏達電","57.1","0","0","7.35","-1.24","-0.14","3.65","4.48","11.1","10.6","10.1","10.6","9.47","9.86","9.9","9.82"
"33",="2474","可成","174","-1.5","-0.85","131","43.8","10.5","259","241","224","245","33.1","45.1","88.9","155","116","108"
