"排名","代號","名稱","成交","漲跌價","漲跌幅","平均淨利(億)","20Q2淨利(億)","20Q3淨利(億)","20Q4淨利(億)","21Q1淨利(億)","21Q2淨利(億)","21Q3淨利(億)","21Q4淨利(億)","22Q1淨利(億)","22Q2淨利(億)","22Q3淨利(億)","22Q4淨利(億)","23Q1淨利(億)"
"1",="2330","台積電","579","+3","+0.52","6,729","4,549","4,912","5,179","5,406","5,541","5,731","5,965","6,596","7,623","8,869","10,165","10,208"
"2",="2603","長榮","102.5","+9","+9.63","1,863","26.6","107","244","609","998","1,717","2,390","3,043","3,645","3,851","3,342","2,379"
"3",="2317","鴻海","115","+2","+1.77","1,291","1,034","1,036","1,018","1,279","1,348","1,409","1,393","1,406","1,441","1,459","1,415","1,249"
"4",="2609","陽明","69.3","+6.3","+10","1,128","-32.5","8.65","120","373","719","1,200","1,653","2,013","2,223","2,212","1,806","1,234"
"5",="2454","聯發科","691","+3","+0.44","871","261","325","409","608","811","961","1,114","1,191","1,270","1,297","1,181","1,018"
"6",="2303","聯電","48.25","-0.25","-0.52","540","157","218","292","374","427","510","558","652","745","841","872","836"
"7",="3711","日月光投控","111","+0.5","+0.45","488","230","239","276","322","356","430","639","683","740","773","621","550"
"8",="2615","萬海","58.9","+4.9","+9.07","675","35.9","47.4","113","259","432","770","1,033","1,293","1,404","1,272","931","503"
"9",="2412","中華電","115","-1.5","-1.29","351","327","330","334","339","343","353","358","360","367","367","365","371"
"10",="2308","台達電","362.5","+18","+5.22","278","199","231","255","300","300","280","268","263","263","310","327","335"
"11",="5871","中租-KY","205.5","+1.5","+0.74","215","157","164","169","179","195","205","216","238","252","267","272","269"
"12",="3037","欣興","179.5","+3.5","+1.99","148","41.6","44.9","54.6","72.6","76.6","103","132","167","229","273","296","280"
"13",="2382","廣達","160.5","+8.5","+5.59","285","177","212","253","298","315","330","337","333","294","293","290","287"
"14",="3231","緯創","95.7","+4.9","+5.4","96.9","81.3","91.9","86.8","80.7","93.7","74.2","105","95","95.9","125","112","122"
"15",="1216","統一","76.5","+0.2","+0.26","196","188","208","215","225","215","200","199","187","182","180","172","179"
"16",="2327","國巨","499.5","+8","+1.63","185","86.4","92.9","120","147","177","219","229","241","237","233","227","206"
"17",="6488","環球晶","498","+1","+0.2","130","125","126","131","129","135","132","119","109","96.9","117","154","186"
"18",="3034","聯詠","425","-1.5","-0.35","259","86","99.8","118","155","227","316","389","441","428","349","280","216"
"19",="5483","中美晶","162.5","+1","+0.62","70.1","55.9","56.6","63.3","64","70.1","71.6","68.1","66.2","63.2","75.8","87.2","99.2"
"20",="4938","和碩","76","+1.2","+1.6","194","231","237","202","233","216","175","205","175","153","179","151","164"
"21",="8046","南電","270","+6","+2.27","101","19.3","26.2","36.7","47.8","62.8","83.5","106","129","154","178","194","179"
"22",="4958","臻鼎-KY","105.5","+0.5","+0.48","103","92.3","74.6","80.9","81.7","76.5","91","96.5","106","125","144","142","128"
"23",="3008","大立光","2135","+5","+0.23","224","284","257","245","231","211","205","187","189","209","237","226","204"
"24",="1303","南亞","72.1","-0.4","-0.55","475","153","177","257","424","632","760","813","787","700","502","321","179"
"25",="6669","緯穎","1495","+75","+5.28","101","69.5","78.3","86.1","88.5","89.9","87.7","86.5","92.9","105","128","142","151"
"26",="6770","力積電","30.85","-0.1","-0.32","152","","","38.1","59.1","72.6","110","161","206","243","259","216","152"
"27",="3045","台灣大","95","-0.6","-0.63","112","126","121","113","108","106","106","110","109","110","110","110","110"
"28",="2027","大成鋼","47.95","+0.55","+1.16","69.7","-9.29","-12.4","-5.73","10.7","41.3","72.6","96.7","125","157","143","120","97.2"
"29",="2301","光寶科","113.5","+10","+9.66","124","105","104","100","127","133","134","139","117","117","128","142","144"
