"排名","代號","名稱","成交","漲跌價","漲跌幅","平均成長(%)","20Q3成長(%)","20Q4成長(%)","21Q1成長(%)","21Q2成長(%)","21Q3成長(%)","21Q4成長(%)","22Q1成長(%)","22Q2成長(%)","22Q3成長(%)","22Q4成長(%)","23Q1成長(%)","23Q2成長(%)"
"1",="8477","創業家","15","-0.05","-0.33","-35.1","-24","-17.8","-29","+12.5","-18","-94.6","-38.9","-48.1","-20.9","-65.8","-41.4",""
"2",="5381","合正","18.95","+0.1","+0.53","+69.8","+16.8","-0.48","+16.3","+19.6","+14.2","+23.1","-5.29","+2","-7.55","-12.2","+701",""
"3",="6130","星寶國際","30.4","+0.15","+0.5","+77.9","-53.7","-49.8","-51.9","+50.8","-4.66","-44.3","-60.3","-57.5","-0.27","+34.2","+1094",""
"4",="2929","淘帝-KY","10.8","+0.1","+0.93","-8.87","+175","-56.6","-87.2","-91.5","-52.3","+1.19","+128","-8.16","-17.6","-69.7","-18.9",""
"5",="2939","凱羿-KY","28.9","+0.25","+0.87","-26.7","+84.9","+24.5","-29.2","-51","-27.9","-23.8","-51.9","-33.2","-86.6","-92.7","-6.64",""
"6",="6806","森崴能源","100","-3","-2.91","+217","","","","","","","","","+938","+107","-96.4","-79"
"7",="6111","大宇資","75.6","-2","-2.58","+7300","-54.3","-61.7","-1.92","-24.5","+11896","+11893","+12140","+43155","+226","+190","+946",""
"8",="6691","洋基工程","273.5","-4.5","-1.62","+271","","-14.1","-6.03","+25.1","+1465","+380","+459","+139","+99.1","+62","+100",""
"9",="3054","立萬利","19.9","-0.15","-0.75","-23","-27.9","-81.7","-88.6","-89.1","-82","-67.9","-41.1","+53","+36","+21.4","-8.57","+99.8"
"10",="5386","青雲","55.6","-4.3","-7.18","+52.2","+92.4","+135","+2.45","+60.1","+174","+121","+246","+55.9","-59","-70.4","-87.3","-43.1"
"11",="2424","隴華","42.8","-0.6","-1.38","+42","+114","+81.8","+81.7","+128","+13.5","+23.2","+27.5","+7.74","+37","-50.8","-1.53",""
"12",="4123","晟德","57.5","-1.8","-3.04","-11.4","-58.9","-53.3","-56.2","+12.2","+3.68","-7.04","-13.4","-31.1","-23.1","-11.3","+113",""
"13",="3041","揚智","17.85","-0.55","-2.99","+28.2","+59","+63.8","+42.8","+13.2","+29.7","+10.6","-11.9","+13.3","+26","-17.4","+80.6",""
"14",="8440","綠電","38.3","-0.7","-1.79","-2.03","+5.12","-7.13","+13","+0.13","-7.18","-2.84","-16.9","+4.65","+0.42","-17.5","-17.2","+21"
