"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"1",="8429","金麗-KY","市","08/09","","10.05","-0.1","-0.99","255","2.58","10.15","10.15","10.2","10","1.97","","0.3","    ","    ","    ","    "
"2",="5907","大洋-KY","市","08/09","","14.25","-0.1","-0.7","54","0.78","14.35","14.35","14.35","14.25","0.7","","0.38","    ","    ","    ","    "
"3",="2929","淘帝-KY","市","08/09","","10.7","-0.05","-0.47","253","2.7","10.75","10.8","10.8","10.65","1.4","11","0.4","    ","    ","    ","    "
"4",="2603","長榮","市","08/09","","106.5","-1","-0.93","16,093","1,723","107.5","107.5","109","106","2.79","0.95","0.41","    ","    ","    ","    "
"5",="1340","勝悅-KY","市","08/09","","12.6","+0.1","+0.8","132","1.66","12.5","12.5","12.6","12.45","1.2","","0.42","    ","    ","    ","    "
"6",="3673","TPK-KY","市","08/09","","38.5","+0.4","+1.05","1,052","40.3","38.1","38.1","38.55","38","1.44","38.1","0.43","    ","    ","    ","    "
"7",="1337","再生-KY","市","08/09","","7.67","-0.13","-1.67","644","4.97","7.8","7.76","7.8","7.67","1.67","","0.43","    ","    ","    ","    "
"8",="2506","太設","市","08/09","","9.16","-0.07","-0.76","207","1.9","9.23","9.24","9.24","9.12","1.3","","0.46","    ","    ","    ","    "
"9",="1314","中石化","市","08/09","","9.52","-0.04","-0.42","4,941","47.1","9.56","9.56","9.61","9.51","1.05","","0.46","    ","    ","    ","    "
"10",="2609","陽明","市","08/09","","46","-0.4","-0.86","12,555","580","46.4","46.45","46.75","45.85","1.94","1.31","0.46","    ","    ","    ","    "
"11",="2362","藍天","市","08/09","","32.95","+0.4","+1.23","366","12","32.55","32.5","33.2","32.45","2.3","32.3","0.46","    ","    ","    ","    "
"12",="1906","寶隆","市","08/09","","16.1","0","0","26","0.43","16.1","16.1","16.1","16.1","0","7.09","0.48","    ","    ","    ","    "
"13",="1338","廣華-KY","市","08/09","","38.25","-0.1","-0.26","75","2.85","38.35","38.35","38.55","38.05","1.3","","0.5","    ","    ","    ","    "
"14",="8488","吉源-KY","市","08/09","","18.35","+0.1","+0.55","13","0.24","18.25","18.25","18.4","18.1","1.64","","0.5","    ","    ","    ","    "
"15",="1718","中纖","市","08/09","","8.18","-0.05","-0.61","1,329","10.9","8.23","8.21","8.26","8.17","1.09","","0.51","    ","    ","    ","    "
"16",="3252","海灣","櫃","08/09","","20.05","-0.1","-0.5","220","4.46","20.15","20.35","20.8","19.95","4.22","","0.51","    ","    ","    ","    "
"17",="2537","聯上發","市","08/09","","7.23","+0.02","+0.28","260","1.88","7.21","7.22","7.26","7.2","0.83","","0.53","    ","    ","    ","    "
"18",="5512","力麒","櫃","08/09","","9.5","-0.05","-0.52","920","8.74","9.55","9.56","9.57","9.47","1.05","","0.53","    ","    ","    ","    "
"19",="1312","國喬","市","08/09","","18.85","+0.1","+0.53","1,028","19.4","18.75","18.85","18.95","18.75","1.07","","0.53","    ","    ","    ","    "
"20",="1416","廣豐","市","08/09","","10.55","-0.1","-0.94","275","2.9","10.65","10.65","10.65","10.5","1.41","14.1","0.54","    ","    ","    ","    "
"21",="8411","福貞-KY","市","08/09","","14.85","-0.2","-1.33","86","1.28","15.05","14.95","15","14.85","1","","0.55","    ","    ","    ","    "
"22",="2514","龍邦","市","08/09","","16.5","-0.05","-0.3","41","0.68","16.55","16.5","16.5","16.4","0.6","24.3","0.55","    ","    ","    ","    "
"23",="1451","年興","市","08/09","","19.85","+0.05","+0.25","137","2.72","19.8","19.7","20.05","19.7","1.77","","0.57","    ","    ","    ","    "
"24",="5533","皇鼎","市","08/09","","18.3","0","0","63","1.16","18.3","18.35","18.35","18.3","0.27","6.73","0.57","    ","    ","    ","    "
"25",="8354","冠好","櫃","08/09","","14.45","0","0","41","0.59","14.45","14.45","14.45","14.35","0.69","22.9","0.58","    ","    ","    ","    "
"26",="1103","嘉泥","市","08/09","","20.25","-0.35","-1.7","760","15.4","20.6","20.45","20.5","20.15","1.7","","0.59","    ","    ","    ","    "
"27",="2104","國際中橡","市","08/09","","20.7","-0.2","-0.96","1,476","30.7","20.9","20.85","20.95","20.65","1.44","44","0.59","    ","    ","    ","    "
"28",="2107","厚生","市","08/09","","21.4","0","0","268","5.76","21.4","21.5","21.55","21.4","0.7","11.4","0.6","    ","    ","    ","    "
"29",="3615","安可","櫃","08/09","","19.9","0","0","18","0.36","19.9","19.9","19.95","19.9","0.25","995","0.6","    ","    ","    ","    "
"30",="9944","新麗","市","08/09","","20.85","-0.05","-0.24","284","5.84","20.9","20.3","20.9","20.3","2.87","4.63","0.61","    ","    ","    ","    "
"31",="2852","第一保","市","08/09","","16.15","+0.15","+0.94","224","3.62","16","16.25","16.25","16.1","0.94","9.28","0.62","    ","    ","    ","    "
"32",="2534","宏盛","市","08/09","","20","-0.1","-0.5","333","6.68","20.1","20.1","20.15","19.95","1","4.93","0.62","    ","    ","    ","    "
"33",="2867","三商壽","市","08/09","","5.2","-0.01","-0.19","6,378","33.1","5.21","5.2","5.22","5.17","0.96","","0.62","    ","    ","    ","    "
"34",="2527","宏璟","市","08/09","","23.85","+0.25","+1.06","136","3.23","23.6","23.6","23.85","23.6","1.06","45.9","0.62","    ","    ","    ","    "
"35",="4552","力達-KY","市","08/09","","32","-0.25","-0.78","190","6.09","32.25","32.25","32.25","31.9","1.09","8.36","0.63","    ","    ","    ","    "
"36",="2062","橋椿","市","08/09","","22.25","-0.15","-0.67","68","1.52","22.4","22.4","22.4","22.2","0.89","13.9","0.63","    ","    ","    ","    "
"37",="1315","達新","市","08/09","","71","+0.3","+0.42","15","1.08","70.7","71","71.1","70.9","0.28","10.4","0.63","    ","    ","    ","    "
"38",="2615","萬海","市","08/09","","50.1","0","0","2,577","129","50.1","50.4","50.6","49.8","1.6","2.81","0.63","    ","    ","    ","    "
"39",="4430","耀億","櫃","08/09","","22.7","-0.1","-0.44","21","0.48","22.8","22.75","22.75","22.7","0.22","","0.63","    ","    ","    ","    "
"40",="3015","全漢","市","08/09","","49.4","-0.55","-1.1","222","11","49.95","50.2","50.2","49.35","1.7","14","0.63","    ","    ","    ","    "
"41",="3481","群創","市","08/09","","16.5","-0.15","-0.9","61,872","1,026","16.65","16.75","16.85","16.4","2.7","","0.64","    ","    ","    ","    "
"42",="2524","京城","市","08/09","","30.65","+0.05","+0.16","15","0.46","30.6","30.7","31.15","30.65","1.63","13.2","0.65","    ","    ","    ","    "
"43",="6405","悅城","市","08/09","","25.25","-0.65","-2.51","90","2.28","25.9","25.9","25.9","25.05","3.28","","0.65","    ","    ","    ","    "
"44",="8096","擎亞","櫃","08/09","","10.85","-0.2","-1.81","514","5.61","11.05","11.05","11.05","10.8","2.26","","0.66","    ","    ","    ","    "
"45",="5356","協益","櫃","08/09","","27.35","-0.7","-2.5","284","7.82","28.05","28","28.1","27.35","2.67","55.8","0.66","    ","    ","    ","    "
"46",="3516","亞帝歐","櫃","08/09","","17.65","+0.3","+1.73","13","0.23","17.35","17.5","17.65","17.3","2.02","23.5","0.66","    ","    ","    ","    "
"47",="2601","益航","市","08/09","","8.6","-0.06","-0.69","1,014","8.76","8.66","8.73","8.73","8.6","1.5","","0.67","    ","    ","    ","    "
"48",="5521","工信","市","08/09","","7.12","-0.02","-0.28","133","0.95","7.14","7.15","7.15","7.11","0.56","","0.67","    ","    ","    ","    "
"49",="2515","中工","市","08/09","","10.1","-0.1","-0.98","4,590","46.6","10.2","10.25","10.3","10.1","1.96","30.6","0.68","    ","    ","    ","    "
"50",="2888","新光金","市","08/09","","9.71","+0.01","+0.1","40,575","395","9.7","9.71","9.78","9.68","1.03","","0.68","    ","    ","    ","    "
"51",="2605","新興","市","08/09","","18.8","-0.15","-0.79","1,993","37.7","18.95","19","19.15","18.8","1.85","29.4","0.69","    ","    ","    ","    "
"52",="3714","富采","市","08/09","","48","-0.1","-0.21","1,465","70.4","48.1","48.05","48.35","47.8","1.14","","0.69","    ","    ","    ","    "
"53",="8110","華東","市","08/09","","13.8","0","0","867","11.9","13.8","13.8","13.85","13.65","1.45","31.4","0.69","    ","    ","    ","    "
"54",="1714","和桐","市","08/09","","8.52","-0.06","-0.7","848","7.24","8.58","8.58","8.59","8.52","0.82","25.1","0.69","    ","    ","    ","    "
"55",="3543","州巧","市","08/09","","21.75","+0.1","+0.46","83","1.82","21.65","21.7","22.1","21.7","1.85","","0.69","    ","    ","    ","    "
"56",="1325","恆大","市","08/09","","22.65","0","0","114","2.59","22.65","22.65","23.05","22.6","1.99","133","0.69","    ","    ","    ","    "
"57",="4930","燦星網","市","08/09","","26.2","-0.05","-0.19","54","1.42","26.25","26.2","26.2","26.15","0.19","8.48","0.7","    ","    ","    ","    "
"58",="8499","鼎炫-KY","市","08/09","","102","0","0","85","8.68","102","102.5","103","101","1.96","7.62","0.7","    ","    ","    ","    "
"59",="4745","合富-KY","櫃","08/09","","26.15","+0.05","+0.19","33","0.87","26.1","26.1","26.2","26.1","0.38","21.3","0.7","    ","    ","    ","    "
"60",="1447","力鵬","市","08/09","","7.8","+0.01","+0.13","271","2.11","7.79","7.8","7.83","7.77","0.77","","0.7","    ","    ","    ","    "
"61",="2489","瑞軒","市","08/09","","12.8","0","0","1,823","23.5","12.8","12.85","13","12.8","1.56","11.1","0.71","    ","    ","    ","    "
"62",="2612","中航","市","08/09","","40.6","-0.55","-1.34","567","23.4","41.15","41.45","41.9","40.6","3.16","10.6","0.71","    ","    ","    ","    "
"63",="1806","冠軍","市","08/09","","9.87","-0.1","-1","454","4.49","9.97","10","10","9.85","1.5","","0.71","    ","    ","    ","    "
"64",="1531","高林股","市","08/09","","14.55","0","0","65","0.94","14.55","14.55","14.55","14.45","0.69","26.5","0.71","    ","    ","    ","    "
"65",="9946","三發地產","市","08/09","","14.25","+0.15","+1.06","403","5.83","14.1","14.1","14.85","14.1","5.32","41.9","0.71","    ","    ","    ","    "
"66",="2239","英利-KY","市","08/09","","66.2","-0.3","-0.45","15","1.02","66.5","66.5","66.8","66.2","0.9","55.6","0.72","    ","    ","    ","    "
