"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","2012發放年度","2013發放年度","2014發放年度","2015發放年度","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度"
"1",="2454","聯發科","07/20","692","-4","-0.57","26.85","322.1","24.25","291","9","9","15","22","11","9.5","10","9","10.5","37","73","76.01"
"2",="2603","長榮","07/20","101","+2.9","+2.96","11.31","135.7","7.57","90.79","0","0","0","0.1","0","0","0.2","0","0","2.49","18","70"
"3",="6669","緯穎","07/20","1900","+100","+5.56","44.32","265.9","25.01","150","","","","","","","4.04","16","23","32","25","50"
"4",="3008","大立光","07/20","2240","-30","-1.32","143.68","1724","58.93","707.2","17","17","28.5","51","63.5","63.5","72.5","68","79","91.5","109.66","46"
"5",="5274","信驊","07/20","2535","+10","+0.4","19.83","237.9","16.88","202.5","4","5","5.5","7","8","12","15","18","22","26","35","45"
"6",="6409","旭隼","07/20","1835","+25","+1.38","21.94","241.3","19.54","214.9","","7","7.3","10.8","15","20","20","21","23.21","23.5","23.55","43.51"
"7",="3592","瑞鼎","07/20","321.5","+3","+0.94","17.63","211.6","13.34","160.1","8","8","8","6","6.56","6.5","5.5","7","8","10.5","45","41"
"8",="3034","聯詠","07/20","409.5","+5","+1.24","17.75","213","14.39","172.7","4.6","5.59","6","10","9","7","7.1","8.8","10.5","15.6","51.5","37"
"9",="3293","鈊象","07/20","641","-18","-2.73","20.68","248.1","17.48","209.8","11","5.5","2","2.8","4.5","10","11","11","25","42","50","35"
"10",="4966","譜瑞-KY","07/20","895","-24","-2.61","30.92","340.1","12.74","152.9","3.47","3.4","2.8","4.98","4.94","8.88","12.22","12.31","15.07","21.74","32.48","30.59"
"11",="2379","瑞昱","07/20","410.5","-4.5","-1.08","11.9","142.8","9.77","117.2","2.3","3.4","5","6","4","5","5.5","7","11","14","27","27"
"12",="3533","嘉澤","07/20","785","-1","-0.13","18.44","221.3","8.72","104.6","3.5","4.5","3.5","5.5","4.5","4","5.5","8.7","10.5","13.3","15.92","25.18"
"13",="5904","寶雅","07/20","525","+11","+2.14","13.03","156.4","11.54","138.5","3.28","4.1","4.8","7.4","8.8","10.7","13","15.75","17.1","18.7","11","23.9"
"14",="6515","穎崴","07/20","813","-16","-1.93","20.78","83.1","12.4","62.01","","","","4.05","","","","","12","12.98","10.98","22"
"15",="8016","矽創","07/20","221","-3","-1.34","12.27","147.2","8.46","101.5","2","2.5","3","4.5","5","6","5.5","5","6.5","7.5","32","22"
"16",="6670","復盛應用","07/20","223","0","0","18.07","108.4","11.43","68.6","","","","","","","9","11","8","6.6","12","22"
"17",="3529","力旺","07/20","2080","+30","+1.46","8.02","96.19","7.81","93.69","2.5","2.7","4","6","6","6.5","7.5","8","7","9","14","20.5"
