"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"1",="2454","聯發科","692","+12","+1.76","26.85","322.1","24.25","291","80.8","72.9","70.2","73.1","73.2","66.3","62.7","64.3","67.9","71.5","142","103","102"
"2",="2603","長榮","96.5","+0.6","+0.63","11.31","135.7","7.62","91.39","22","0","0","0","59.8","0","0","35.5","0","0","49.1","39.5","80.4"
"3",="6669","緯穎","1945","+75","+4.01","44.32","265.9","25.34","152","55.7","","","","","","","51.7","42.1","63.1","65","50.5","61.7"
"4",="3008","大立光","2310","-95","-3.95","143.68","1724","58.93","707.2","41.3","43.9","40.9","39.8","35.2","35.3","37.5","37.4","37.4","37.5","50","50.4","50.5"
"5",="5274","信驊","2440","+90","+3.83","19.83","237.9","17.24","206.9","86.5","88.5","80","87.9","84","74.1","85.3","95.5","89.1","90.2","88.5","94","80.8"
"6",="6409","旭隼","1845","+15","+0.82","21.94","241.3","19.81","217.9","89.8","","77.6","76.5","78.9","81.4","110","115","92.8","91.6","92.9","86.8","85.5"
"7",="3592","瑞鼎","324","+2","+0.62","17.63","211.6","13.34","160.1","79.4","67.6","64.9","65.4","84.4","102","91.9","89.7","80.6","77.4","80","69.1","80"
"8",="3034","聯詠","409","+10","+2.51","17.75","213","14.39","172.7","81.2","74.7","76","76.8","84.4","85.6","85.2","86","83.8","80.6","80.3","80.6","80.5"
"9",="3293","鈊象","652","+9","+1.4","20.68","248.1","18.32","219.8","92.8","82.4","120","117","85.4","102","78.2","84.8","87.9","89","86.8","89.3","90"
"10",="4966","譜瑞-KY","949","-26","-2.67","30.92","340.1","13.07","156.9","42.3","","41.5","30.2","30.2","32.3","49.2","47.9","48","38.1","48.5","49","49.9"
"11",="2379","瑞昱","408","+8.5","+2.13","11.9","142.8","9.78","117.4","81.1","74.1","77.9","83.1","77.8","83.2","83.1","82","81.7","82.3","81.2","81.8","85.4"
"12",="3533","嘉澤","794","-35","-4.22","18.44","221.3","8.79","105.4","48.2","35.2","44.4","45.1","47.7","52.8","54.2","53.8","50.6","52.2","50.4","47.8","44.3"
"13",="5904","寶雅","528","-14","-2.58","13.03","156.4","11.64","139.6","88.7","89.9","89.9","81.3","91.2","89","89","88.9","90","88.6","88","60.8","118"
"14",="6691","洋基工程","400","+9.5","+2.43","16.11","80.57","13.86","69.29","98.3","","","","","","","","62.9","70.8","182","88.4","87.5"
"15",="6515","穎崴","903","+49","+5.74","20.78","83.1","12.6","63.01","70.5","","","","","","","","","63.2","74.5","75.9","68.3"
"16",="8016","矽創","220","+1","+0.46","12.27","147.2","8.46","101.5","72.7","80.6","83.7","82.7","74.8","70.9","68.4","75.1","71.1","63.3","65","64","73.1"
"17",="6670","復盛應用","219","-3","-1.35","18.07","108.4","11.43","68.6","65.6","","","","","","","77.1","65.3","48.2","76.6","66.6","60"
"18",="3529","力旺","2235","+125","+5.92","8.02","96.19","7.81","93.69","102","123","125","103","109","94.9","92.1","94.9","98.4","95.9","94.5","94.7","94.9"
"19",="5269","祥碩","1005","+30","+3.08","16.02","192.2","9.65","115.7","66.1","19.7","59.3","81.2","74.3","82","81.1","83","75.3","74.4","54.3","56.2","52.8"
"20",="2059","川湖","800","+58","+7.82","17.73","212.8","8.73","104.8","49.6","46.2","51.8","50.4","47.4","50","50","52.4","51","48.9","50.1","50","47"
"21",="2609","陽明","44.6","+0.6","+1.36","7.06","84.71","3.33","40","6.64","0","0","0","0","0","0","0","0","0","0","41","38.7"
"22",="4736","泰博","184.5","+0.5","+0.27","10.83","130","7.81","93.78","84","118","117","90.1","78.7","85.3","83.8","90.3","72.3","80.1","66.9","70","55.5"
"23",="6781","AES-KY","719","0","0","27.34","82.02","13.1","39.3","45.8","","","","","","","","","","37.4","49.7","50.4"
"24",="3131","弘塑","596","+26","+4.56","15.51","186.1","10.88","130.5","70.7","79.4","80.3","59.1","63","73.1","62.9","65.7","70.9","72","79","72.4","71.1"
"25",="8046","南電","266","+1.5","+0.57","4.32","51.81","3.2","38.4","27.1","40.7","0","0","52","75.2","-74.8","-16.5","-77.8","146","60","61.1","59.9"
"26",="1476","儒鴻","490.5","+3.5","+0.72","13.93","167.2","9.75","117","70.2","66.1","67.1","67.8","69.5","65.7","78.3","85.4","68.9","70.2","70.9","63.9","68.7"
"27",="6488","環球晶","532","+18","+3.5","24.75","222.8","13.69","123.2","68","","","","86.4","86.2","98.4","78.9","80.2","54.6","39.7","42.6","45.3"
"28",="8454","富邦媒","665","+17","+2.62","9.73","116.8","8.82","105.8","90","89.4","90.1","79.7","93.1","93.6","94.7","88.2","87","85.4","93.7","83.2","102"
"29",="6763","綠界科技","484","+11","+2.33","21.65","86.59","12.83","51.3","58.2","","","","","","","","","47","72.1","41.2","72.4"
"30",="2247","汎德永業","330","-3","-0.9","13.7","82.23","10.32","61.94","75","","","","","","","60.1","71","82.7","75.9","78.1","82.1"
"31",="2357","華碩","298","+2.5","+0.85","26.17","314.1","19.1","229.2","86.1","65.9","64.2","68","64.9","65.2","65.8","71.7","263","85.7","72.7","70","75.8"
