"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"1",="2905","三商","14.85","-0.1","-0.67","201","121","58.3","42.5","102","91.8","88.8","306","256","244","304","196","601","122"
"2",="2603","長榮","108","+1.5","+1.41","19.9","17","11.6","-8.16","-5.46","-8.35","-9.61","26.3","2.69","-38.8","-28.3","33.7","246","50.9"
"3",="2330","台積電","565","0","0","125","35.9","5","60.6","62.1","304","80","106","139","171","180","131","229","130"
"4",="1301","台塑","82","-1.2","-1.44","210","155","115","186","149","246","308","330","318","220","70.7","258","170","24.5"
"5",="1303","南亞","68.7","-0.5","-0.72","189","-0.8","-70.4","161","235","250","406","329","321","168","92.2","225","155","8.54"
"6",="1326","台化","63.7","-0.7","-1.09","159","97.9","61.2","113","116","166","212","278","252","206","94.4","157","149","11.7"
"7",="1605","華新","41.2","-0.55","-1.32","17.6","-33","-40.5","-23.6","1.58","5.08","8.52","15","56.4","6.81","18.7","57.8","139","3.71"
"8",="2317","鴻海","105.5","0","0","327","197","103","270","309","348","230","703","341","490","346","446","137","-201"
"9",="2915","潤泰全","60.6","0","0","79.8","13.1","25.2","97.7","61.8","54.9","64.5","66.1","80.7","93.5","94","176","130","1.65"
"10",="2609","陽明","50.6","-0.4","-0.78","3.6","7.1","3.61","30.2","-18","-14.8","-9.74","-1.4","-14.1","-25.7","-33.1","-10.1","129","27.6"
"11",="3706","神達","35.35","-0.2","-0.56","43.9","","0","7.75","14.1","17.2","23.8","21.6","31.4","25.8","29.1","187","125","3.33"
"12",="2474","可成","172.5","-0.5","-0.29","64.6","4.92","17.8","36.1","35.2","52.7","51.3","-6.88","117","58.7","259","33.1","116","11.8"
"13",="6505","台塑化","79.9","-1.1","-1.36","65.8","38.3","32.7","75.6","92.7","72.3","44.7","44.4","80.8","81.1","59","53.1","115","10.8"
"14",="2347","聯強","55.8","-1.7","-2.96","40","34.5","22.9","25.1","17.7","-2.11","14.6","29.5","25.7","29.1","32.7","139","111","3.3"
"15",="9904","寶成","30.95","+0.15","+0.49","79.8","26.3","47.9","86.3","79.5","78.9","84.9","77.5","64.5","75.7","80.7","147","108","8.33"
"16",="2352","佳世達","46","-0.4","-0.86","14.8","-35.4","-19.8","1.65","7.6","2.64","3.57","30.2","10.4","-2.83","16","56.3","108","-1.21"
"17",="2382","廣達","160.5","-4.5","-2.73","65.9","167","86.2","112","104","44.2","12.4","24.9","48.8","15.6","19.8","61.6","95.9","10.8"
"18",="2454","聯發科","682","-8","-1.16","70.2","18.6","40.8","43","51.1","34.6","41.4","174","75.1","44.6","43.6","188","87.7","47.4"
"19",="2357","華碩","293","-7","-2.33","58.1","19","52.3","71.9","36.9","14.4","55.3","64.4","40.1","76.9","81.6","97.6","86.3","16.9"
"20",="3008","大立光","2340","+25","+1.08","11.1","3.64","0.17","7.2","19","15.1","3.37","-1.34","15.8","0.8","-3.38","-1.22","74.4","6.4"
"21",="2371","大同","54.6","-0.7","-1.27","-12","3.6","1.25","-11.8","-16.7","-5.24","6.65","16.1","-164","-26.1","-36","18.5","69.4","-1.16"
"22",="1102","亞泥","43.95","-0.15","-0.34","40.5","51.5","26.1","74.1","54.7","27.7","2.44","10.6","22.2","63.3","44.7","42.5","66.3","17.2"
"23",="1218","泰山","25.65","-1","-3.75","8.48","5.17","1.72","2.44","1.77","2.07","-0.02","3.81","4.01","4.61","5.9","4.26","66","0.38"
"24",="1216","統一","73.2","-0.8","-1.08","102","30.6","-2.15","71.9","55.2","56.1","94.1","541","83.2","67.7","86.5","78.8","63.3","35.3"
"25",="2615","萬海","56.7","-0.9","-1.56","11.8","7.58","-6.17","2.78","11.7","16.4","-3.74","-0.23","7.88","17","14.7","12.8","60.6","7.47"
"26",="2408","南亞科","69.1","-1","-1.43","50.2","-67.8","-54.1","41","129","41.9","172","230","22.3","17.1","5.57","5.81","58.7","7.73"
"27",="9945","潤泰新","35.4","-0.15","-0.42","97.3","19.5","31.3","308","67","65","69.9","130","103","81.1","86.9","149","57.4","-4.89"
"28",="1101","台泥","37.3","+0.05","+0.13","16.3","3.53","-10.9","8.28","13.4","-10.1","-15.2","-1.38","23.6","24.8","41.8","62.9","54.8","13.1"
"29",="3481","群創","15.35","-0.35","-2.23","-24.6","-70.3","-111","-97.1","-56.4","-75.7","-14.2","19.2","17.3","34.1","7.45","-3.02","54.4","16.7"
"30",="2002","中鋼","28.65","-0.3","-1.04","1.16","-8.26","-2.55","-13.4","-12.2","13.9","-35.3","-15.2","-16.6","2.23","4.72","46.6","49.9","-0.49"
"31",="2308","台達電","348","-6","-1.69","44.8","42.6","44.8","29.9","37","42.8","39.6","40.2","46.3","97.5","28.5","42.6","46.3","15.5"
"32",="1314","中石化","9.52","-0.1","-1.04","29.1","66.5","25.5","71.2","25.3","19.4","-4.09","27.1","16","22.7","19.2","14.8","45.7","-0.74"
"33",="2409","友達","18.4","-0.5","-2.65","-22.7","-79.9","-168","-30.6","-21.8","-99.2","-11.5","2.24","45.5","6.23","7.05","33.3","44.6","-1.56"
