"排名","代號","名稱","成交","漲跌價","漲跌幅","平均淨利(億)","2011淨利(億)","2012淨利(億)","2013淨利(億)","2014淨利(億)","2015淨利(億)","2016淨利(億)","2017淨利(億)","2018淨利(億)","2019淨利(億)","2020淨利(億)","2021淨利(億)","2022淨利(億)","23Q1淨利(億)"
"1",="2330","台積電","565","0","0","3,803","1,342","1,663","1,881","2,639","3,066","3,342","3,431","3,511","3,453","5,179","5,965","10,165","2,070"
"2",="2603","長榮","108","+1.5","+1.41","492","-30.9","3.13","-15","11.6","-44.1","-66.1","70.1","2.94","1.13","244","2,390","3,342","50.4"
"3",="2609","陽明","50.6","-0.4","-0.78","259","-94","-16.2","-29.5","3.2","-77.2","-149","3.21","-65.9","-43.1","120","1,653","1,806","34"
"4",="2317","鴻海","105.5","0","0","1,229","816","946","1,067","1,305","1,469","1,487","1,387","1,291","1,153","1,018","1,393","1,415","128"
"5",="2454","聯發科","682","-8","-1.16","409","136","156","275","464","260","237","243","208","230","409","1,114","1,181","169"
"6",="2615","萬海","56.7","-0.9","-1.56","191","0.2","18.5","21.3","52.5","39.4","11.4","25.4","11.2","35.7","113","1,033","931","-21.2"
"7",="2303","聯電","48.35","+0.2","+0.42","218","106","61.8","126","121","134","83.2","96.3","70.7","97.1","292","558","872","162"
"8",="3711","日月光投控","109","+0.5","+0.46","364","","","","","","","230","253","168","276","639","621","58.2"
"9",="2881","富邦金","60","-0.3","-0.5","594","305","291","385","602","636","484","541","477","585","903","1,446","469","140"
"10",="2882","國泰金","42.25","-0.25","-0.59","535","111","161","378","494","575","476","563","515","628","746","1,395","374","70.1"
"11",="2412","中華電","114.5","-0.5","-0.43","385","471","408","397","386","428","401","389","355","328","334","358","365","96.4"
"12",="1301","台塑","82","-1.2","-1.44","353","357","148","207","179","309","394","494","495","373","200","714","361","23.4"
"13",="2308","台達電","348","-6","-1.69","205","110","148","178","207","187","188","184","182","231","255","268","327","69.1"
"14",="1303","南亞","68.7","-0.5","-0.72","365","231","42.7","253","317","357","488","545","527","231","257","813","321","8.66"
"15",="2891","中信金","24.6","+0.1","+0.41","340","183","213","215","394","354","279","372","360","429","429","542","313","130"
