"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="8080","永利聯合","10.5","2022","4.45","+41.8","0.71","+12.2","1.66","+447","15.9","-4.19","37.3","+52.5","7.23","+8.44","170","+406","48.6","+61.6","57"
"2",="6287","元隆","22","2022","17.9","+11.5","3.05","+72.9","2.44","+135","17.1","+6.06","13.7","+7.18","2.23","+1.99","77","+0.72","12.8","+6.25","49"
"3",="2603","長榮","104","2022","6,273","+28.2","3,985","+32","3,342","+39.8","63.5","+1.83","55.2","+1.43","87.07","+41.5","73.7","-41","46.2","-9.47","94"
"4",="2025","千興","5.27","2022","12.3","-50.2","-1.09","-136","7.81","+183","-8.89","-21.2","63.4","+52.2","2.78","+1.8","72.1","+23.3","45","+30.1","74"
"5",="8421","旭源","15.25","2022","12.7","-1.39","1.47","-11.9","4.75","+518","11.6","-1.38","38.7","+47.7","8.67","+10.74","66.6","+87.5","23.2","+28.2","62"
"6",="6409","旭隼","1810","2022","227","+34","71.4","+65.5","44.3","+87.9","31.4","+5.98","19.5","+5.59","50.9","+23.77","63.1","+20.4","30.1","+11.5","68"
"7",="2609","陽明","48.4","2022","3,759","+12.7","2,302","+7.99","1,806","+9.27","61.2","-2.64","48.2","-1.47","51.71","+2.98","62.6","-59.7","40.6","-16.6","94"
"8",="1218","泰山","25.85","2022","111","+11.3","14.5","-5.9","59.2","+900","13.1","-2.39","53.5","+47.5","12.17","+10.95","60.5","+52.1","43.4","+37.4","70"
"9",="3529","力旺","2045","2022","32.2","+36.1","32.2","+36.1","16.1","+46.4","100","0","49.9","+3.6","21.61","+6.83","57.1","+8.82","45.3","+6.67","95"
"10",="3293","鈊象","640","2022","119","+5.87","115","+5.97","54.8","+15.7","96","+0.1","45.9","+3.93","38.88","-28.33","55.8","-4.74","41.5","-2.97","91"
"11",="5278","尚凡","180.5","2022","18.3","+11.2","9.34","+5.57","2.46","-1.42","50.9","-2.71","13.4","-1.82","11.09","-5.43","55.7","-2.13","24.2","-6.14","68"
"12",="3443","創意","1585","2022","240","+59.1","83.3","+59.4","37.1","+154","34.7","+0.05","15.4","+5.77","27.69","+16.79","55.7","+25.7","20.6","+8.72","59"
"13",="5274","信驊","2515","2022","52.1","+43.2","33.9","+42.8","21.1","+60.4","65.1","-0.22","40.4","+4.32","55.72","+17.42","52.4","+12.3","40.2","+8.41","91"
