"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"1",="8429","金麗-KY","市","11/23","","10.85","+0.1","+0.93","378","4.08","10.75","10.8","10.85","10.7","1.4","","0.32","    ","    ","    ","    ","    "
"2",="5907","大洋-KY","市","11/23","","12.25","-0.05","-0.41","39","0.48","12.3","12.3","12.45","12.25","1.63","","0.36","    ","    ","    ","    ","    "
"3",="3673","TPK-KY","市","11/23","","35.4","+0.35","+1","1,246","44.1","35.05","35.05","35.6","34.9","2","63.2","0.37","    ","    ","    ","    ","    "
"4",="1340","勝悅-KY","市","11/23","","11.65","+0.15","+1.3","73","0.84","11.5","11.5","11.7","11.45","2.17","","0.41","    ","    ","    ","    ","    "
"5",="1337","再生-KY","市","11/23","","7.28","+0.07","+0.97","368","2.67","7.21","7.24","7.29","7.21","1.11","","0.43","    ","    ","    ","    ","    "
"6",="2929","淘帝-KY","市","11/23","","11.9","-0.15","-1.24","330","3.95","12.05","12.1","12.1","11.9","1.66","","0.45","    ","    ","    ","    ","    "
"7",="2506","太設","市","11/23","","9.23","-0.01","-0.11","446","4.12","9.34","9.28","9.29","9.22","0.76","","0.45","    ","    ","    ","    ","    "
"8",="2362","藍天","市","11/23","","33.75","+0.15","+0.45","653","22.1","33.6","33.7","34.1","33.5","1.79","19.9","0.46","    ","    ","    ","    ","    "
"9",="1312","國喬","市","11/23","","16.45","0","0","915","15","16.45","16.4","16.5","16.3","1.22","","0.48","    ","    ","    ","    ","    "
"10",="1314","中石化","市","11/23","","9.9","-0.05","-0.5","5,449","54","9.95","9.98","9.98","9.87","1.11","","0.48","    ","    ","    ","    ","    "
"11",="3481","群創","市","11/23","","12.6","0","0","14,263","180","12.6","12.6","12.7","12.5","1.59","","0.49","    ","    ","    ","    ","    "
"12",="8488","吉源-KY","市","11/23","","18.2","+0.1","+0.55","7","0.13","18.1","18.1","18.2","18.1","0.55","","0.5","    ","    ","    ","    ","    "
"13",="1718","中纖","市","11/23","","8.18","-0.01","-0.12","1,881","15.4","8.19","8.19","8.24","8.18","0.73","","0.51","    ","    ","    ","    ","    "
"14",="2609","陽明","市","11/23","","41.55","0","0","7,440","310","41.55","41.65","41.85","41.5","0.84","6.97","0.51","    ","    ","    ","    ","    "
"15",="2514","龍邦","市","11/23","","16.15","+0.05","+0.31","84","1.36","16.1","16.1","16.15","16.05","0.62","11.9","0.52","    ","    ","    ","    ","    "
"16",="2603","長榮","市","11/23","","112","0","0","8,463","949","112","112.5","113.5","111.5","1.79","3.83","0.52","    ","    ","    ","    ","    "
"17",="1451","年興","市","11/23","","18.4","-0.25","-1.34","830","15.2","18.65","18.45","18.5","18.15","1.88","","0.53","    ","    ","    ","    ","    "
"18",="5512","力麒","櫃","11/23","","9.82","+0.11","+1.13","6,010","59.2","9.71","9.72","9.93","9.66","2.78","40.9","0.54","    ","    ","    ","    ","    "
"19",="1906","寶隆","市","11/23","","15.5","0","0","45","0.7","15.5","15.45","15.55","15.45","0.65","81.6","0.54","    ","    ","    ","    ","    "
"20",="8411","福貞-KY","市","11/23","","14.35","0","0","36","0.52","14.35","14.35","14.35","14.15","1.39","43.5","0.54","    ","    ","    ","    ","    "
"21",="8354","冠好","櫃","11/23","","14.4","+0.05","+0.35","83","1.2","14.35","14.4","14.4","14.35","0.35","26.7","0.55","    ","    ","    ","    ","    "
"22",="1338","廣華-KY","市","11/23","","41.15","+3.7","+9.88","1,869","75.8","37.45","38","41.15","37.95","8.54","","0.55","    ","    ","    ","    ","    "
"23",="2104","國際中橡","市","11/23","","20","+0.1","+0.5","1,114","22.2","19.9","19.9","20.05","19.9","0.75","","0.56","    ","    ","    ","    ","    "
"24",="1416","廣豐","市","11/23","","11.05","+0.05","+0.45","302","3.33","11","11","11.05","11","0.45","18.4","0.57","    ","    ","    ","    ","    "
"25",="9944","新麗","市","11/23","","19.6","-0.15","-0.76","129","2.54","19.75","19.7","19.75","19.6","0.76","5.87","0.58","    ","    ","    ","    ","    "
"26",="3252","海灣","櫃","11/23","","23","+0.25","+1.1","861","19.9","22.75","22.95","23.8","22.65","5.05","","0.58","    ","    ","    ","    ","    "
"27",="2615","萬海","市","11/23","","45.75","+0.1","+0.22","3,249","148","45.65","45.6","45.85","45.5","0.77","","0.59","    ","    ","    ","    ","    "
"28",="1103","嘉泥","市","11/23","","19.05","+0.05","+0.26","158","3","19","19","19.05","18.9","0.79","73.3","0.59","    ","    ","    ","    ","    "
"29",="2107","厚生","市","11/23","","23.7","0","0","140","3.33","23.7","23.75","23.75","23.65","0.42","14.9","0.6","    ","    ","    ","    ","    "
"30",="4430","耀億","櫃","11/23","","20.65","-0.1","-0.48","80","1.66","20.75","20.7","20.75","20.6","0.72","","0.6","    ","    ","    ","    ","    "
"31",="2888","新光金","市","11/23","","9.04","0","0","10,832","97.8","9.04","9.01","9.07","9.01","0.66","","0.6","    ","    ","    ","    ","    "
"32",="2867","三商壽","市","11/23","","5.1","-0.03","-0.58","4,910","25","5.13","5.1","5.13","5.08","0.97","","0.61","    ","    ","    ","    ","    "
"33",="6405","悅城","市","11/23","","23.65","-0.2","-0.84","120","2.83","23.85","23.6","23.9","23.4","2.1","","0.62","    ","    ","    ","    ","    "
"34",="4552","力達-KY","市","11/23","","31.65","+0.05","+0.16","338","10.7","31.6","31.75","31.95","31.65","0.95","9.09","0.62","    ","    ","    ","    ","    "
"35",="2062","橋椿","市","11/23","","23.7","-0.1","-0.42","109","2.58","23.8","23.85","23.85","23.6","1.05","20.6","0.64","    ","    ","    ","    ","    "
"36",="1315","達新","市","11/23","","71.2","-0.1","-0.14","17","1.19","71.3","71.3","71.7","71.2","0.7","16.6","0.65","    ","    ","    ","    ","    "
"37",="2601","益航","市","11/23","","8.25","-0.01","-0.12","1,024","8.45","8.26","8.26","8.27","8.23","0.48","","0.65","    ","    ","    ","    ","    "
"38",="1589","永冠-KY","市","11/23","","50.3","+0.4","+0.8","277","13.9","49.9","50.3","50.7","50","1.4","","0.65","    ","    ","    ","    ","    "
"39",="2537","聯上發","市","11/23","","8.88","+0.17","+1.95","5,766","51.5","8.71","8.78","9.14","8.71","4.94","","0.65","    ","    ","    ","    ","    "
"40",="3714","富采","市","11/23","","45.35","+0.2","+0.44","1,812","82.7","45.15","45.15","46.1","45.15","2.1","","0.65","    ","    ","    ","    ","    "
"41",="2527","宏璟","市","11/23","","25.85","0","0","389","10","25.85","25.9","25.9","25.55","1.35","13.2","0.66","    ","    ","    ","    ","    "
"42",="2489","瑞軒","市","11/23","","12","-0.05","-0.41","919","11.1","12.05","12.05","12.2","11.95","2.07","","0.66","    ","    ","    ","    ","    "
"43",="8499","鼎炫-KY","市","11/23","","123","0","0","8","0.96","123","123","123","123","0","10.8","0.66","    ","    ","    ","    ","    "
"44",="2612","中航","市","11/23","","40.45","+0.05","+0.12","199","8.08","40.4","40.5","41","40.4","1.49","16.2","0.66","    ","    ","    ","    ","    "
"45",="2524","京城","市","11/23","","31.5","+0.15","+0.48","23","0.73","31.35","31.35","31.5","31.25","0.8","14.1","0.66","    ","    ","    ","    ","    "
"46",="2239","英利-KY","市","11/23","","61.2","+0.2","+0.33","47","2.9","61","61.4","62.3","61.2","1.8","35.2","0.67","    ","    ","    ","    ","    "
"47",="2534","宏盛","市","11/23","","20.7","+0.2","+0.98","1,124","23.2","20.5","20.4","20.95","20.35","2.93","6.7","0.67","    ","    ","    ","    ","    "
